mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	3/4	3	1		Ab.I{		Ab	I		I		I						{	M	0	0	0, 4, 1		0	0
1	0	1/8	1/2	3/4	3	1		viio6		Ab	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
1	0	1/4	5/8	3/4	3	1		viio/IV		Ab	I		viio/IV		vii	o			IV			o	0	0	4, 1, -2		4	4
2	1	0	0	3/4	3	1		I[IV64	vi6	Ab	I	I	IV64		IV		64					M	0	0	0, -1, 3		-1	0
2	1	1/4	1/4	3/4	3	1		viio64/V		Ab	I	I	viio64/V		vii	o	64		V			o	0	0	0, 6, 3		6	0
2	1	3/8	3/8	3/4	3	1		viio43		Ab	I	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
2	1	5/8	5/8	3/4	3	1		viio65		Ab	I	I	viio65		vii	o	65					o7	0	0	2, -1, -4, 5		5	2
3	2	1/4	1/4	3/4	3	1		I]		Ab	I	I	I		I							M	0	0	0, 4, 1		0	0
3	2	1/2	1/2	3/4	3	1		vi7		Ab	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
3	2	5/8	5/8	3/4	3	1		V6		Ab	I		V6		V		6					M	0	0	5, 2, 1		1	5
4	3	0	0	3/4	3	1		vi6		Ab	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
4	3	1/8	1/8	3/4	3	1		viio2/V		Ab	I		viio2/V		vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
4	3	1/4	1/4	3/4	3	1		V(9#7b64)		Ab	I		V(9#7b64)		V			9#7b64				M	0	0	1, 0, -3	3, 6	1	1
5	4	1/4	1/4	3/4	3	1		V|HC}		Ab	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
5	4	3/8	3/8	3/4	3	1		I{		Ab	I		I		I						{	M	0	0	0, 4, 1		0	0
