mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	2/4	3	1		A.V	A	I		V		V							M	0	0	1, 5, 2		1	1
2	1	0	0	2/4	3	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
2	1	1/4	1/4	2/4	3	1		V6	A	I		V6		V		6					M	0	0	5, 2, 1		1	5
3	2	0	0	2/4	3	1		V43	A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	2	1/8	1/8	2/4	3	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
4	3	0	0	2/4	3	1		IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	3	3/8	3/8	2/4	3	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	4	3/8	3/8	2/4	3	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
6	5	0	0	2/4	3	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	5	1/4	1/4	2/4	3	1		ii64/V	A	I		ii64/V		ii		64		V			m	0	0	4, 3, 0		3	4
7	6	1/8	1/8	2/4	3	1		V7/V	A	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
7	6	1/4	1/4	2/4	3	1		V\\	A	I		V		V						\\	M	0	0	1, 5, 2		1	1
8	7	0	0	2/4	3	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	7	1/4	1/4	2/4	3	1		ii64/V	A	I		ii64/V		ii		64		V			m	0	0	4, 3, 0		3	4
9	8	1/8	1/8	2/4	3	1		V7/V	A	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
9	8	1/4	1/4	2/4	3	1		V\\	A	I		V		V						\\	M	0	0	1, 5, 2		1	1
10	9	0	0	2/4	3	1		V2	A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
11	10	0	0	2/4	3	1		I6(9)	A	I		I6(9)		I		6	9				M	0	0	4, 1, 0	2	0	4
11	10	1/8	1/8	2/4	3	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
11	10	3/8	3/8	2/4	3	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
12	11	0	0	2/4	3	1		#viio43/vi	A	I		#viio43/vi		#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2
13	12	0	0	2/4	3	1		vi6	A	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
13	12	3/8	3/8	2/4	3	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
14	13	0	0	2/4	3	1		IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
14	13	3/8	3/8	2/4	3	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	14	0	0	2/4	3	1		viio2(2)/V	A	I		viio2(2)/V		vii	o	2	2	V			o7	0	0	-3, 1, 3, 0		6	-3
15	14	1/4	1/4	2/4	3	1		viio2/V	A	I		viio2/V		vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
16	15	0	0	2/4	3	1		V7/V	A	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
17	16	0	0	2/4	3	1		#viio7/vi	A	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
17	16	3/8	3/8	2/4	3	1		V2/ii	A	I		V2/ii		V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
18	17	0	0	2/4	3	1		ii6	A	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
