mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	5/8	6/8	3	1		D.viio6(42)		D	I		viio6(42)	vii	o	6	42				o	0	0	4, -1, 0		5	4
2	1	0	0	6/8	3	1		V[V7		D	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
2	1	1/4	1/4	6/8	3	1		IV64		D	I	V	IV64	IV		64					M	0	0	0, -1, 3		-1	0
2	1	3/8	3/8	6/8	3	1		V7]		D	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	0	0	6/8	3	1		I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	1/4	1/4	6/8	3	1		V64		D	I		V64	V		64					M	0	0	2, 1, 5		1	2
3	2	3/8	3/8	6/8	3	1		vi6	IV64	D	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
3	2	1/2	1/2	6/8	3	1		vi2		D	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
4	3	0	0	6/8	3	1		ii6		D	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	3	1/8	1/8	6/8	3	1		I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	3/8	3/8	6/8	3	1		V[V7		D	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	5/8	5/8	6/8	3	1		IV64		D	I	V	IV64	IV		64					M	0	0	0, -1, 3		-1	0
5	4	0	0	6/8	3	1		V7		D	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	1/4	1/4	6/8	3	1		IV64		D	I	V	IV64	IV		64					M	0	0	0, -1, 3		-1	0
5	4	3/8	3/8	6/8	3	1		V7\\		D	I	V	V7	V		7				\\	Mm7	0	0	1, 5, 2, -1		1	1
5	4	5/8	5/8	6/8	3	1		V7(64)		D	I	V	V7(64)	V		7	64				Mm7	0	0	1, 0, 4, -1		1	1
6	5	0	0	6/8	3	1		V7		D	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	5	1/4	1/4	6/8	3	1		IV64		D	I	V	IV64	IV		64					M	0	0	0, -1, 3		-1	0
6	5	3/8	3/8	6/8	3	1		V7		D	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	0	0	6/8	3	1		IVM43		D	I	V	IVM43	IV	M	43					MM7	0	0	0, 4, -1, 3		-1	0
7	6	1/4	1/4	6/8	3	1		V7]		D	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	3/8	3/8	6/8	3	1		I\\		D	I		I	I						\\	M	0	0	0, 4, 1		0	0
7	6	5/8	5/8	6/8	3	1		I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	7	0	0	6/8	3	1		V[V7		D	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	7	1/4	1/4	6/8	3	1		vi2		D	I	V	vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
8	7	3/8	3/8	6/8	3	1		V		D	I	V	V	V							M	0	0	1, 5, 2		1	1
8	7	5/8	5/8	6/8	3	1		V7		D	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	0	0	6/8	3	1		V(64)		D	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
9	8	1/4	1/4	6/8	3	1		V		D	I	V	V	V							M	0	0	1, 5, 2		1	1
9	8	3/8	3/8	6/8	3	1		vi2		D	I	V	vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
9	8	5/8	5/8	6/8	3	1		V(64)		D	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
10	9	0	0	6/8	3	1		V7		D	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	9	1/4	1/4	6/8	3	1		V(64)		D	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
