mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	0.5	0	3/8	2/4	3	1	A.V{	A	I		V		V						{	M	0	0	1, 5, 2		1	1
2	1	1/2	1/2	1.0	0	0	2/4	3	1	I	A	I		I		I							M	0	0	0, 4, 1		0	0
2	1	3/2	3/2	1.0	1/4	1/4	2/4	3	1	V6	A	I		V6		V		6					M	0	0	5, 2, 1		1	5
3	2	5/2	5/2	0.5	0	0	2/4	3	1	V43	A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	2	3	3	1.5	1/8	1/8	2/4	3	1	I	A	I		I		I							M	0	0	0, 4, 1		0	0
4	3	9/2	9/2	1.5	0	0	2/4	3	1	IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	3	6	6	2.0	3/8	3/8	2/4	3	1	I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	4	8	8	0.5	3/8	3/8	2/4	3	1	V	A	I		V		V							M	0	0	1, 5, 2		1	1
6	5	17/2	17/2	1.0	0	0	2/4	3	1	I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	5	19/2	19/2	1.5	1/4	1/4	2/4	3	1	ii64/V	A	I		ii64/V		ii		64		V			m	0	0	4, 3, 0		3	4
7	6	11	11	0.5	1/8	1/8	2/4	3	1	V7/V	A	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
7	6	23/2	23/2	1.0	1/4	1/4	2/4	3	1	V}{	A	I		V		V						}{	M	0	0	1, 5, 2		1	1
8	7	25/2	25/2	1.0	0	0	2/4	3	1	I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	7	27/2	27/2	1.5	1/4	1/4	2/4	3	1	ii64/V	A	I		ii64/V		ii		64		V			m	0	0	4, 3, 0		3	4
9	8	15	15	0.5	1/8	1/8	2/4	3	1	V7/V	A	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
9	8	31/2	31/2	1.0	1/4	1/4	2/4	3	1	V|HC}	A	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
9	8	16	16	0.0	3/8	3/8	2/4	3	1	{	A	I										{		0	0				
10	9	33/2	33/2	2.0	0	0	2/4	3	1	V2	A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
11	10	37/2	37/2	0.5	0	0	2/4	3	1	I6(9)	A	I		I6(9)		I		6	9				M	0	0	4, 1, 0	2	0	4
11	10	19	19	1.5	1/8	1/8	2/4	3	1	I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
12	11	41/2	41/2	2.0	0	0	2/4	3	1	#viio43/vi	A	I		#viio43/vi		#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2
13	12	45/2	45/2	2.0	0	0	2/4	3	1	vi6	A	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
14	13	49/2	49/2	1.5	0	0	2/4	3	1	IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
14	13	26	26	0.5	3/8	3/8	2/4	3	1	I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
