mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0.5	0	7/8	4/4	3	1	Eb.I6{		Eb	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
2	1	1/2	4.0	0	0	4/4	3	1	I[I		Eb	I	I	I	I							M	0	0	0, 4, 1		0	0
3	2	9/2	1.0	0	0	4/4	3	1	IV6		Eb	I	I	IV6	IV		6					M	0	0	3, 0, -1		-1	3
3	2	11/2	1.0	1/4	1/4	4/4	3	1	vii%7		Eb	I	I	vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
3	2	13/2	1.0	1/2	1/2	4/4	3	1	I]		Eb	I	I	I	I							M	0	0	0, 4, 1		0	0
3	2	15/2	1.0	3/4	3/4	4/4	3	1	IM2		Eb	I		IM2	I	M	2					MM7	0	0	5, 0, 4, 1		0	5
4	3	17/2	2.0	0	0	4/4	3	1	vi		Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
4	3	21/2	1.0	1/2	1/2	4/4	3	1	IM43		Eb	I		IM43	I	M	43					MM7	0	0	1, 5, 0, 4		0	1
4	3	23/2	1.0	3/4	3/4	4/4	3	1	IV		Eb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	4	25/2	2.0	0	0	4/4	3	1	I6		Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	4	29/2	1.0	1/2	1/2	4/4	3	1	V43		Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	4	31/2	1.0	3/4	3/4	4/4	3	1	vi65		Eb	I		vi65	vi		65					mm7	0	0	0, 4, 1, 3		3	0
6	5	33/2	1.0	0	0	4/4	3	1	V		Eb	I		V	V							M	0	0	1, 5, 2		1	1
6	5	35/2	1.0	1/4	1/4	4/4	3	1	V6		Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	5	37/2	1.0	1/2	1/2	4/4	3	1	I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
6	5	39/2	1.0	3/4	3/4	4/4	3	1	#viio7/ii		Eb	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
7	6	41/2	1.0	0	0	4/4	3	1	V[ii		Eb	I	V	ii	ii							m	0	0	2, -1, 3		2	2
7	6	43/2	1.0	1/4	1/4	4/4	3	1	V2/ii		Eb	I	V	V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
7	6	45/2	1.0	1/2	1/2	4/4	3	1	ii6		Eb	I	V	ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	6	47/2	1.0	3/4	3/4	4/4	3	1	#viio7/iii		Eb	I	V	#viio7/iii	#vii	o	7		iii			o7	0	0	9, 6, 3, 0		9	9
8	7	49/2	2.0	0	0	4/4	3	1	I6		Eb	I	V	I6	I		6					M	0	0	4, 1, 0		0	4
8	7	53/2	1.0	1/2	1/2	4/4	3	1	IV		Eb	I	V	IV	IV							M	0	0	-1, 3, 0		-1	-1
8	7	55/2	1.0	3/4	3/4	4/4	3	1	viio7/V		Eb	I	V	viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
9	8	57/2	1.3333333333333321	0	0	4/4	3	1	V]|HC}{		Eb	I	V	V	V					HC	}{	M	0	0	1, 5, 2		1	1
9	8	179/6	1.0	1/3	1/3	4/4	3	1	V2(9)		Eb	I		V2(9)	V		2	9				Mm7	0	0	-1, 1, 5, 2	3	1	-1
9	8	185/6	1.0	7/12	7/12	4/4	3	1	iii		Eb	I		iii	iii							m	0	0	4, 1, 5		4	4
9	8	191/6	0.6666666666666679	5/6	5/6	4/4	3	1	V43		Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	9	65/2	4.0	0	0	4/4	3	1	I[I		Eb	I	I	I	I							M	0	0	0, 4, 1		0	0
