mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.5	0	0	6/8	3	1	g.i[i{	g	i	i	i	i						{	m	1	1	0, -3, 1		0	0
1	1	3/2	3/2	1.0	3/8	3/8	6/8	3	1	V2(6)	g	i	i	V2(6)	V		2	6				Mm7	1	1	-1, 1, 5, -3		1	-1
1	1	5/2	5/2	0.5	5/8	5/8	6/8	3	1	V2	g	i	i	V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
2	2	3	3	0.5	0	0	6/8	3	1	i	g	i	i	i	i							m	1	1	0, -3, 1		0	0
2	2	7/2	7/2	0.5	1/8	1/8	6/8	3	1	#viio6	g	i	i	#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	4	4	0.5	1/4	1/4	6/8	3	1	#viio43	g	i	i	#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
2	2	9/2	9/2	1.0	3/8	3/8	6/8	3	1	#viio65	g	i	i	#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
2	2	11/2	11/2	1.0	5/8	5/8	6/8	3	1	i]	g	i	i	i	i							m	1	1	0, -3, 1		0	0
3	3	13/2	13/2	0.5	1/8	1/8	6/8	3	1	#viio7/iv	g	i		#viio7/iv	#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
3	3	7	7	1.5	1/4	1/4	6/8	3	1	#viio43/iv	g	i		#viio43/iv	#vii	o	43		iv			o7	1	1	-2, -5, 4, 1		4	-2
3	3	17/2	17/2	0.5	5/8	5/8	6/8	3	1	#viio65/iv	g	i		#viio65/iv	#vii	o	65		iv			o7	1	1	1, -2, -5, 4		4	1
4	4	9	9	1.0	0	0	6/8	3	1	iv	g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	4	10	10	0.5	1/4	1/4	6/8	3	1	ii%7	g	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
4	4	21/2	21/2	1.0	3/8	3/8	6/8	3	1	V7(6)	g	i		V7(6)	V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
4	4	23/2	23/2	0.5	5/8	5/8	6/8	3	1	V7	g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	12	12	1.5	0	0	6/8	3	1	i[i}{	g	i	i	i	i						}{	m	1	1	0, -3, 1		0	0
5	5	27/2	27/2	1.0	3/8	3/8	6/8	3	1	V2(6)	g	i	i	V2(6)	V		2	6				Mm7	1	1	-1, 1, 5, -3		1	-1
5	5	29/2	29/2	0.5	5/8	5/8	6/8	3	1	V2	g	i	i	V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
6	6	15	15	0.5	0	0	6/8	3	1	i	g	i	i	i	i							m	1	1	0, -3, 1		0	0
6	6	31/2	31/2	0.5	1/8	1/8	6/8	3	1	#viio6	g	i	i	#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
6	6	16	16	0.5	1/4	1/4	6/8	3	1	#viio43	g	i	i	#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
6	6	33/2	33/2	1.0	3/8	3/8	6/8	3	1	#viio65	g	i	i	#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
6	6	35/2	35/2	1.0	5/8	5/8	6/8	3	1	i]	g	i	i	i	i							m	1	1	0, -3, 1		0	0
7	7	37/2	37/2	0.5	1/8	1/8	6/8	3	1	#viio7/iv	g	i		#viio7/iv	#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
7	7	19	19	0.5	1/4	1/4	6/8	3	1	#viio43/iv	g	i		#viio43/iv	#vii	o	43		iv			o7	1	1	-2, -5, 4, 1		4	-2
7	7	39/2	39/2	1.5	3/8	3/8	6/8	3	1	iv	g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	8	21	21	0.5	0	0	6/8	3	1	V[V(64)	g	i	V	V(64)	V			64				M	1	1	1, 0, -3		1	1
8	8	43/2	43/2	0.5	1/8	1/8	6/8	3	1	ii%65	g	i	V	ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
8	8	22	22	0.5	1/4	1/4	6/8	3	1	viio7/V	g	i	V	viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
8	8	45/2	45/2	1.5	3/8	3/8	6/8	3	1	V}{	g	i	V	V	V						}{	M	1	1	1, 5, 2		1	1
9	9	24	24	0.75	0	0	6/8	3	1	V(64)	g	i	V	V(64)	V			64				M	1	1	1, 0, -3		1	1
9	9	99/4	99/4	0.25	3/16	3/16	6/8	3	1	v	g	i	V	v	v							m	1	1	1, -2, 2		1	1
9	9	25	25	0.5	1/4	1/4	6/8	3	1	iv64(2)	g	i	V	iv64(2)	iv		64	2				m	1	1	0, 1, -4		-1	0
9	9	51/2	51/2	4.5	3/8	3/8	6/8	3	1	V]|HC}	g	i	V	V	V					HC	}	M	1	1	1, 5, 2		1	1
11	11	30	30	1.5	0	0	6/8	3	1	iio6(112){	g	i		iio6(112)	ii	o	6	112			{	o	1	1	-1, -4, -3	1	2	-1
11	11	63/2	63/2	1.0	3/8	3/8	6/8	3	1	iio6	g	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
11	11	65/2	65/2	0.5	5/8	5/8	6/8	3	1	iv	g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
12	12	33	33	1.5	0	0	6/8	3	1	V2	g	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
12	12	69/2	69/2	1.5	3/8	3/8	6/8	3	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
13	13	36	36	1.5	0	0	6/8	3	1	ii%7	g	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
13	13	75/2	75/2	1.0	3/8	3/8	6/8	3	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
13	13	77/2	77/2	0.5	5/8	5/8	6/8	3	1	iv6	g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
14	14	39	39	1.5	0	0	6/8	3	1	V(4)	g	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
14	14	81/2	81/2	1.5	3/8	3/8	6/8	3	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
15	15	42	42	1.5	0	0	6/8	3	1	i[i|PAC}{	g	i	i	i	i					PAC	}{	m	1	1	0, -3, 1		0	0
15	15	87/2	87/2	1.0	3/8	3/8	6/8	3	1	V2(6)	g	i	i	V2(6)	V		2	6				Mm7	1	1	-1, 1, 5, -3		1	-1
15	15	89/2	89/2	0.5	5/8	5/8	6/8	3	1	V2	g	i	i	V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
16	16	45	45	0.5	0	0	6/8	3	1	i	g	i	i	i	i							m	1	1	0, -3, 1		0	0
16	16	91/2	91/2	0.5	1/8	1/8	6/8	3	1	#viio6	g	i	i	#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
16	16	46	46	0.5	1/4	1/4	6/8	3	1	#viio43	g	i	i	#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
16	16	93/2	93/2	1.0	3/8	3/8	6/8	3	1	#viio65	g	i	i	#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
16	16	95/2	95/2	1.0	5/8	5/8	6/8	3	1	i]	g	i	i	i	i							m	1	1	0, -3, 1		0	0
