mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.Db.I		Db	I		I	I						M	0	0	0, 4, 1		0	0
2	2	0	viio43(#2)/V		Db	I		viio43(#2)/V	vii	o	43	#2	V		o7	0	0	0, -3, 6, 8		6	0
2	2	1/4	viio43/V		Db	I		viio43/V	vii	o	43		V		o7	0	0	0, -3, 6, 3		6	0
3	3	0	V6		Db	I		V6	V		6				M	0	0	5, 2, 1		1	5
4	4	0	viio43(#2)/IV		Db	I		viio43(#2)/IV	vii	o	43	#2	IV		o7	0	0	-2, -5, 4, 6		4	-2
4	4	1/4	viio43/IV		Db	I		viio43/IV	vii	o	43		IV		o7	0	0	-2, -5, 4, 1		4	-2
5	5	0	IV6		Db	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
6	6	0	V2(#11)/iii		Db	I		V2(#11)/iii	V		2	#11	iii		Mm7	0	0	3, 5, 9, 6	11	5	3
6	6	1/4	V2/iii		Db	I		V2/iii	V		2		iii		Mm7	0	0	3, 5, 9, 6		5	3
7	7	0	iii6		Db	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
7	7	3/16	#viio43/ii		Db	I		#viio43/ii	#vii	o	43		ii		o7	0	0	1, -2, 7, 4		7	1
8	8	0	ii6		Db	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
8	8	3/16	V7		Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
9	9	0	I[I		Db	I	I	I	I						M	0	0	0, 4, 1		0	0
9	9	3/16	viio65		Db	I	I	viio65	vii	o	65				o7	0	0	2, -1, -4, 5		5	2
10	10	0	vi6		Db	I	I	vi6	vi		6				m	0	0	0, 4, 3		3	0
10	10	3/16	#viio65/vi		Db	I	I	#viio65/vi	#vii	o	65		vi		o7	0	0	5, 2, -1, 8		8	5
11	11	0	vi6		Db	I	I	vi6	vi		6				m	0	0	0, 4, 3		3	0
11	11	3/16	#viio43/ii		Db	I	I	#viio43/ii	#vii	o	43		ii		o7	0	0	1, -2, 7, 4		7	1
12	12	0	ii64		Db	I	I	ii64	ii		64				m	0	0	3, 2, -1		2	3
12	12	3/16	#viio65/ii		Db	I	I	#viio65/ii	#vii	o	65		ii		o7	0	0	4, 1, -2, 7		7	4
13	13	0	ii6		Db	I	I	ii6	ii		6				m	0	0	-1, 3, 2		2	-1
14	14	0	ii64		Db	I	I	ii64	ii		64				m	0	0	3, 2, -1		2	3
14	14	3/16	ii		Db	I	I	ii	ii						m	0	0	2, -1, 3		2	2
