mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	3/4	3	1	Eb.I{	Eb	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	2	2	0.5	1/2	1/2	3/4	3	1	ii%2	Eb	I		ii%2	ii	%	2					%7	0	0	0, 2, -1, -4		2	0
1	1	5/2	5/2	0.5	5/8	5/8	3/4	3	1	viio43/V	Eb	I		viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
2	2	3	3	1.0	0	0	3/4	3	1	V6(2)	Eb	I		V6(2)	V		6	2				M	0	0	5, 2, 3		1	5
2	2	4	4	2.0	1/4	1/4	3/4	3	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	3	6	6	2.0	0	0	3/4	3	1	IV6	Eb	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
3	3	8	8	0.5	1/2	1/2	3/4	3	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	3	17/2	17/2	0.5	5/8	5/8	3/4	3	1	V65	Eb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	9	9	1.0	0	0	3/4	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
4	4	10	10	1.0	1/4	1/4	3/4	3	1	V43	Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	11	11	1.0	1/2	1/2	3/4	3	1	I6(#11#2)	Eb	I		I6(#11#2)	I		6	#11#2				M	0	0	9, 1, 0	6	0	9
5	5	12	12	1.0	0	0	3/4	3	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	5	13	13	1.0	1/4	1/4	3/4	3	1	ii65	Eb	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
5	5	14	14	1.0	1/2	1/2	3/4	3	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	15	15	2.0	0	0	3/4	3	1	I|IAC}{	Eb	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
6	6	17	17	0.5	1/2	1/2	3/4	3	1	ii%2	Eb	I		ii%2	ii	%	2					%7	0	0	0, 2, -1, -4		2	0
6	6	35/2	35/2	0.5	5/8	5/8	3/4	3	1	viio43/V	Eb	I		viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
7	7	18	18	1.0	0	0	3/4	3	1	V6(2)	Eb	I		V6(2)	V		6	2				M	0	0	5, 2, 3		1	5
7	7	19	19	2.0	1/4	1/4	3/4	3	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
8	8	21	21	2.0	0	0	3/4	3	1	IV6	Eb	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
8	8	23	23	0.5	1/2	1/2	3/4	3	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
8	8	47/2	47/2	0.5	5/8	5/8	3/4	3	1	V65	Eb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
9	9	24	24	3.0	0	0	3/4	3	1	I}	Eb	I		I	I						}	M	0	0	0, 4, 1		0	0
9	9	26	26	0.0	1/2	1/2	3/4	3	1	{	Eb	I									{		0	0				
10	10	27	27	1.0	0	0	3/4	3	1	V2/V	Eb	I		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
10	10	28	28	1.0	1/4	1/4	3/4	3	1	I6/V	Eb	I		I6/V	I		6		V			M	0	0	5, 2, 1		1	5
10	10	29	29	1.0	1/2	1/2	3/4	3	1	V65/V	Eb	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
11	11	30	30	2.0	0	0	3/4	3	1	I(#74#2)/V	Eb	I		I(#74#2)/V	I			#74#2	V			M	0	0	1, 10, 0, 2	13	1	1
11	11	32	32	1.0	1/2	1/2	3/4	3	1	I/V	Eb	I		I/V	I				V			M	0	0	1, 5, 2		1	1
12	12	33	33	0.5	0	0	3/4	3	1	ii6(11#72)/V	Eb	I		ii6(11#72)/V	ii		6	11#72	V			m	0	0	0, 4, 5, 8	2	3	0
12	12	67/2	67/2	0.5	1/8	1/8	3/4	3	1	ii6/V	Eb	I		ii6/V	ii		6		V			m	0	0	0, 4, 3		3	0
12	12	34	34	1.0	1/4	1/4	3/4	3	1	V7(96)/V	Eb	I		V7(96)/V	V		7	96	V			Mm7	0	0	2, 6, 5, 0	4	2	2
12	12	35	35	0.5	1/2	1/2	3/4	3	1	V7/V	Eb	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
12	12	71/2	71/2	2.5	5/8	5/8	3/4	3	1	I/V|PAC}	Eb	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
13	13	38	38	1.0	1/2	1/2	3/4	3	1	V2{	Eb	I		V2	V		2				{	Mm7	0	0	-1, 1, 5, 2		1	-1
14	14	39	39	1.0	0	0	3/4	3	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	40	40	0.5	1/4	1/4	3/4	3	1	V43	Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	14	81/2	81/2	0.5	3/8	3/8	3/4	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
14	14	41	41	0.5	1/2	1/2	3/4	3	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	14	83/2	83/2	0.5	5/8	5/8	3/4	3	1	V43/V	Eb	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
15	15	42	42	1.0	0	0	3/4	3	1	V(#74)	Eb	I		V(#74)	V			#74				M	0	0	1, 0, 2	6	1	1
15	15	43	43	1.0	1/4	1/4	3/4	3	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
15	15	44	44	1.0	1/2	1/2	3/4	3	1	V2	Eb	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
16	16	45	45	1.0	0	0	3/4	3	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
16	16	46	46	0.5	1/4	1/4	3/4	3	1	V43	Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
16	16	93/2	93/2	0.5	3/8	3/8	3/4	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
16	16	47	47	0.5	1/2	1/2	3/4	3	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
16	16	95/2	95/2	0.5	5/8	5/8	3/4	3	1	V43/V	Eb	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
17	17	48	48	1.0	0	0	3/4	3	1	V(4)	Eb	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
17	17	49	49	1.0	1/4	1/4	3/4	3	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
17	17	50	50	1.0	1/2	1/2	3/4	3	1	V2	Eb	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
18	18	51	51	1.5	0	0	3/4	3	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
18	18	105/2	105/2	0.5	3/8	3/8	3/4	3	1	IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	18	53	53	0.5	1/2	1/2	3/4	3	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
18	18	107/2	107/2	0.5	5/8	5/8	3/4	3	1	V65	Eb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
19	19	54	54	1.0	0	0	3/4	3	1	I(9)	Eb	I		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
19	19	55	55	1.0	1/4	1/4	3/4	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
19	19	56	56	1.0	1/2	1/2	3/4	3	1	I(7)	Eb	I		I(7)	I			7				M	0	0	0, 4, 1	5	0	0
20	20	57	57	2.0	0	0	3/4	3	1	iv6/iii	Eb	I		iv6/iii	iv		6		iii			m	0	0	0, 4, 3		3	0
20	20	59	59	0.5	1/2	1/2	3/4	3	1	#viio2/iii	Eb	I		#viio2/iii	#vii	o	2		iii			o7	0	0	0, 9, 6, 3		9	0
20	20	119/2	119/2	0.5	5/8	5/8	3/4	3	1	iv6/iii	Eb	I		iv6/iii	iv		6		iii			m	0	0	0, 4, 3		3	0
21	21	60	60	1.0	0	0	3/4	3	1	V7(6)/iii	Eb	I		V7(6)/iii	V		7	6	iii			Mm7	0	0	5, 9, 1, 3		5	5
21	21	61	61	2.0	1/4	1/4	3/4	3	1	V7/iii	Eb	I		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
22	22	63	63	2.0	0	0	3/4	3	1	iv6/iii	Eb	I		iv6/iii	iv		6		iii			m	0	0	0, 4, 3		3	0
22	22	65	65	0.5	1/2	1/2	3/4	3	1	iv6(#11)/iii	Eb	I		iv6(#11)/iii	iv		6	#11	iii			m	0	0	0, 4, 3	9	3	0
22	22	131/2	131/2	0.5	5/8	5/8	3/4	3	1	iv6/iii	Eb	I		iv6/iii	iv		6		iii			m	0	0	0, 4, 3		3	0
23	23	66	66	2.0	0	0	3/4	3	1	#viio2/iii	Eb	I		#viio2/iii	#vii	o	2		iii			o7	0	0	0, 9, 6, 3		9	0
23	23	68	68	1.0	1/2	1/2	3/4	3	1	V7/IV	Eb	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
24	24	69	69	1.0	0	0	3/4	3	1	IV(9)	Eb	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
24	24	70	70	1.0	1/4	1/4	3/4	3	1	IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
24	24	71	71	1.0	1/2	1/2	3/4	3	1	iv6/vi	Eb	I		iv6/vi	iv		6		vi			m	0	0	-1, 3, 2		2	-1
25	25	72	72	1.0	0	0	3/4	3	1	V7(4)/vi	Eb	I		V7(4)/vi	V		7	4	vi			Mm7	0	0	4, 3, 5, 2		4	4
25	25	73	73	1.5	1/4	1/4	3/4	3	1	V7/vi	Eb	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
25	25	149/2	149/2	2.5	5/8	5/8	3/4	3	1	iv6/vi	Eb	I		iv6/vi	iv		6		vi			m	0	0	-1, 3, 2		2	-1
26	26	77	77	0.5	1/2	1/2	3/4	3	1	#viio2/vi	Eb	I		#viio2/vi	#vii	o	2		vi			o7	0	0	-1, 8, 5, 2		8	-1
26	26	155/2	155/2	0.5	5/8	5/8	3/4	3	1	iv6/vi	Eb	I		iv6/vi	iv		6		vi			m	0	0	-1, 3, 2		2	-1
27	27	78	78	2.0	0	0	3/4	3	1	#viio2/vi	Eb	I		#viio2/vi	#vii	o	2		vi			o7	0	0	-1, 8, 5, 2		8	-1
