mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	diminuendo_line	crescendo_hairpin	crescendo_line
1	0	0	0	0.0	0	7/8	Tempo	4/4	1	1	0							Bewegt	90.0			1.0					
1	0	0	0	0.0	0	7/8	Tempo	4/4	1	1	0							𝅘𝅥=92	92.0	𝅘𝅥	92.0	0.0					
1	0	0	0	0.5	0	7/8	Chord	4/4	1	1	1/8	1/8	1	0	Die												
2	1	1/2	1/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	1	Lie-												
2	1	2	2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	2	-be												
2	1	5/2	5/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	3	sass								0				
2	1	7/2	7/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	4													
2	1	4	4	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	5	als												
2	1	1/2	1/2	0.0	0	0	Dynamic	4/4	2	1	0					p											
2	1	5/6	5/6	0.6666666666666666	1/12	1/12	Chord	4/4	2	1	1/6	1/4	2/3	6													
2	1	3/2	3/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	7													
2	1	2	2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	8													
2	1	5/2	5/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	9													
2	1	7/2	7/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	10													
2	1	4	4	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	11													
2	1	5/6	5/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	2	1/12	1/8	2/3	12									1				
2	1	7/6	7/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	2	1/12	1/8	2/3	13													
2	1	3/2	3/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	2	1/12	1/8	2/3	14									2				
2	1	11/6	11/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	2	1/12	1/8	2/3	15									2				
2	1	13/6	13/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	2	1/12	1/8	2/3	16													
2	1	5/2	5/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	2	1/12	1/8	2/3	17									3				
2	1	17/6	17/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	2	1/12	1/8	2/3	18									3				
2	1	19/6	19/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	2	1/12	1/8	2/3	19													
2	1	7/2	7/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	2	1/12	1/8	2/3	20													
2	1	23/6	23/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	2	1/12	1/8	2/3	21													
2	1	25/6	25/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	2	1/12	1/8	2/3	22													
2	1	1/2	1/2	0.3333333333333333	0	0	Chord	4/4	3	1	1/12	1/8	2/3	23									4				
2	1	5/6	5/6	0.3333333333333333	1/12	1/12	Chord	4/4	3	1	1/12	1/8	2/3	24									4				
2	1	7/6	7/6	0.3333333333333333	1/6	1/6	Chord	4/4	3	1	1/12	1/8	2/3	25													
2	1	3/2	3/2	0.3333333333333333	1/4	1/4	Chord	4/4	3	1	1/12	1/8	2/3	26									5				
