mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								Ziemlichlangsam	71.0			1.0			
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0			
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0					p										
1	1	0	0	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	0			articStaccatoAbove							0		
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	1			articStaccatoAbove							0		
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	2			articStaccatoAbove							0		
1	1	3/2	3/2	0.0	3/8	3/8	Spanner	3/4	2	1	0													0		0
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	3			articStaccatoAbove							0		0
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	4			articStaccatoAbove							0		0
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	5			articStaccatoAbove									0
1	1	0	0	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	6			articStaccatoAbove							1		
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	7			articStaccatoAbove							1		
1	1	1	1	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	8			articStaccatoAbove							1		
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	9			articStaccatoAbove							1		
1	1	2	2	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	10			articStaccatoAbove							1		
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	11			articStaccatoAbove									
2	2	3	3	0.0	0	0	Spanner	3/4	2	1	0															
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	12										2		
2	2	4	4	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	13												
2	2	9/2	9/2	0.0	3/8	3/8	Spanner	3/4	2	1	0														0	
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	14											0	
2	2	3	3	0.5	0	0	Chord	3/4	2	2	1/8	1/8	1	15											0	
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	16											0	
2	2	4	4	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	17											0	
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	18											0	
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	19											0	
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	20											0	
2	2	3	3	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	21												
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	22												
2	2	4	4	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	23												
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	24												
2	2	5	5	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	25												
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	26												
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0															
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0														1	
3	3	6	6	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	27										3	1	
3	3	15/2	15/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	28										3	1	
3	3	31/4	31/4	0.0	7/16	7/16	Spanner	3/4	2	1	0													3		
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	29										3		
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	30										3		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	31												
3	3	6	6	0.5	0	0	Chord	3/4	2	2	1/8	1/8	1	32												
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	33												
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	34												
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	35												
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	36												
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	37												
3	3	6	6	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	38												
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	39												
3	3	7	7	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	40												
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	41												
3	3	8	8	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	42												
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	43												
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0															1
4	4	9	9	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	44										4		1
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	45										4		1
4	4	10	10	0.2	1/4	1/4	Chord	3/4	2	1	1/20	1/16	4/5	46										4, 5		1
4	4	51/5	51/5	0.2	3/10	3/10	Chord	3/4	2	1	1/20	1/16	4/5	47										4, 5		1
4	4	52/5	52/5	0.2	7/20	7/20	Chord	3/4	2	1	1/20	1/16	4/5	48										4, 5		1
4	4	53/5	53/5	0.2	2/5	2/5	Chord	3/4	2	1	1/20	1/16	4/5	49										4, 5		1
4	4	54/5	54/5	0.0	9/20	9/20	Spanner	3/4	2	1	0													4		
4	4	54/5	54/5	0.2	9/20	9/20	Chord	3/4	2	1	1/20	1/16	4/5	50										4		
4	4	11	11	0.0	1/2	1/2	Dynamic	3/4	2	1	0					mp								4		
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	51										4		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	52										4		
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	53												
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	54												
4	4	9	9	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	55												
4	4	10	10	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	56												
4	4	11	11	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	57												
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	58	Ich											
5	5	12	12	0.0	0	0	StaffText	3/4	2	1	0							ritard.						4		
5	5	12	12	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	59										4		
5	5	25/2	25/2	0.0	1/8	1/8	Spanner	3/4	2	1	0													4	2	
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	60										4	2	
5	5	13	13	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	61										4, 6	2	
5	5	27/2	27/2	0.0	3/8	3/8	Spanner	3/4	2	1	0													4		
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	62										4		
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	63										4		
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	64												
5	5	12	12	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	65												
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	66												
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	67												
5	5	12	12	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	68												
5	5	13	13	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	69												
5	5	14	14	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	70												
