mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
5	4	13/2	13/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	20	Hü-	Hü-										
5	4	7	7	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	21	-gel	-gel										
5	4	8	8	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	22	da	da										
5	4	13/2	13/2	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	23												
5	4	8	8	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	24												
5	4	8	8	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	25												
6	5	17/2	17/2	0.0		0	0	Spanner	2/4	1	1	0															0
6	5	17/2	17/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	26	steht	stehn										0
6	5	9	9	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	27	ein	zwei										0
6	5	19/2	19/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	28	Rös-	Blüm-										0
6	5	10	10	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	29	-lein	-lein										0
6	5	17/2	17/2	0.0		0	0	Spanner	2/4	2	1	0															1
6	5	17/2	17/2	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	30												1
6	5	19/2	19/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	31												1
6	5	19/2	19/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	32												1
6	5	10	10	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	33												1
6	5	17/2	17/2	1.0		0	0	Chord	2/4	3	1	1/4	1/4	1	34												
6	5	19/2	19/2	1.0		1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	35												
7	6	21/2	21/2	0.0		0	0	Spanner	2/4	1	1	0															
7	6	21/2	21/2	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	36	hell,	blau,										
7	6	21/2	21/2	0.0		0	0	Spanner	2/4	2	1	0															
7	6	21/2	21/2	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	37												
7	6	12	12	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	38												
7	6	21/2	21/2	0.0		0	0	Spanner	2/4	2	2	0														0	
7	6	21/2	21/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	39											0	
7	6	11	11	1.0		1/8	1/8	Chord	2/4	2	2	1/4	1/4	1	40											0	
7	6	21/2	21/2	1.5		0	0	Chord	2/4	3	1	3/8	1/4	3/2	41												
7	6	12	12	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	42												
8	7	13	13	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	43	und	und										
8	7	27/2	27/2	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	44	wenn 	wenn										
8	7	55/4	55/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	45	ich	ich										
8	7	14	14	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	46	roth,	blau,										
8	7	25/2	25/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	47												
8	7	13	13	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	48										0		
8	7	27/2	27/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	49												
8	7	14	14	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	50										1		
8	7	25/2	25/2	0.0		0	0	Spanner	2/4	2	2	0															
8	7	13	13	1.0		1/8	1/8	Chord	2/4	2	2	1/4	1/4	1	51												
8	7	14	14	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	52												
8	7	25/2	25/2	0.5		0	0	Chord	2/4	3	1	1/8	1/8	1	53												
8	7	13	13	0.5		1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	54										2		
8	7	27/2	27/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	55												
8	7	14	14	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	56										3		
9	8	59/4	59/4	0.0		1/16	1/16	Spanner	2/4	1	1	0															2
9	8	59/4	59/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	57	roth	blau										2
9	8	15	15	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	58	Rös-	Blüm-										2
9	8	61/4	61/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	59	-lein	-lein										2
9	8	31/2	31/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	60	seh’	seh’										2
9	8	16	16	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	61	so	so										2
9	8	29/2	29/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	62												
9	8	15	15	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	63										4		
9	8	31/2	31/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	64												
9	8	16	16	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	65										5		
9	8	29/2	29/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	66												
9	8	15	15	1.0		1/8	1/8	Chord	2/4	2	2	1/4	1/4	1	67												
9	8	16	16	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	68												
9	8	29/2	29/2	0.5		0	0	Chord	2/4	3	1	1/8	1/8	1	69												
9	8	15	15	0.5		1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	70										6		
9	8	31/2	31/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	71												
9	8	16	16	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	72												
10	9	33/2	33/2	0.0		0	0	Spanner	2/4	1	1	0															
10	9	33/2	33/2	0.0		0	0	Spanner	2/4	1	1	0															3
10	9	33/2	33/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	73	roth	blau										3
10	9	17	17	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	74	wie	wie										3
10	9	35/2	35/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	75	lau-	blau-								7		3
10	9	18	18	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	76												3
10	9	73/4	73/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	77	ter	e										3
10	9	33/2	33/2	0.0		0	0	Spanner	2/4	2	1	0															4
10	9	33/2	33/2	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	78												4
10	9	33/2	33/2	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	79												4
10	9	35/2	35/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	80										8		4
10	9	18	18	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	81												4
10	9	33/2	33/2	2.0		0	0	Chord	2/4	3	1	1/2	1/2	1	82												
11	10	37/2	37/2	0.0		0	0	Spanner	2/4	1	1	0															
11	10	37/2	37/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	83	Lie-	Äug-										
11	10	19	19	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	84	-be 	-lein 										
11	10	37/2	37/2	0.0		0	0	Spanner	2/4	2	1	0															
11	10	37/2	37/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	85										9		
11	10	19	19	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	86												
11	10	20	20	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	87												
11	10	37/2	37/2	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	88												
11	10	37/2	37/2	1.0		0	0	Chord	2/4	3	1	1/4	1/4	1	89												
11	10	20	20	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	90												
12	11	41/2	41/2	0.0		0	0	Spanner	2/4	2	1	0														1	
12	11	41/2	41/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	91											1	
12	11	21	21	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	92											1	
12	11	43/2	43/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	93											1	
12	11	22	22	0.0		3/8	3/8	Spanner	2/4	2	1	0															
12	11	22	22	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	94												
12	11	41/2	41/2	0.5		0	0	Chord	2/4	3	1	1/8	1/8	1	95												
12	11	21	21	0.5		1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	96												
12	11	43/2	43/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	97												
12	11	22	22	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	98												
13	12	24	24	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	99	möcht	durch										
13	12	45/2	45/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	100												
13	12	23	23	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	101												
13	12	24	24	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	102												
13	12	45/2	45/2	0.5		0	0	Chord	2/4	3	1	1/8	1/8	1	103												
13	12	23	23	1.0		1/8	1/8	Chord	2/4	3	1	1/4	1/4	1	104												
13	12	24	24	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	105												
14	13	49/2	49/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	106	wei-	Thrä-		articAccentAbove								
14	13	25	25	0.16666666666666666		1/8	1/8	Chord	2/4	1	1	1/24	1/16	2/3	107										10		
14	13	151/6	151/6	0.16666666666666666		1/6	1/6	Chord	2/4	1	1	1/24	1/16	2/3	108												
14	13	76/3	76/3	0.0		5/24	5/24	Spanner	2/4	1	1	0														2	
14	13	76/3	76/3	0.16666666666666666		5/24	5/24	Chord	2/4	1	1	1/24	1/16	2/3	109	nen 	nen									2	
14	13	51/2	51/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	110	ich	ich									2	
14	13	26	26	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	111	zur	sie									2	
14	13	49/2	49/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	112												
14	13	25	25	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	113												
14	13	101/4	101/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	114												
14	13	51/2	51/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	115												
14	13	26	26	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	116												
14	13	49/2	49/2	0.5		0	0	Chord	2/4	3	1	1/8	1/8	1	117												
14	13	25	25	0.25		1/8	1/8	Chord	2/4	3	1	1/16	1/16	1	118												
14	13	101/4	101/4	0.25		3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	119												
14	13	51/2	51/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	120												
14	13	26	26	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	121												
15	14	53/2	53/2	0.0		0	0	Spanner	2/4	1	1	0															
15	14	53/2	53/2	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	122	Stell’!	schau’!										
15	14	53/2	53/2	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	123												
15	14	28	28	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	124												
15	14	53/2	53/2	1.5		0	0	Chord	2/4	3	1	3/8	1/4	3/2	125												
16	15	57/2	57/2	0.75		0	0	Chord	2/4	2	1	3/16	1/8	3/2	126												
16	15	117/4	117/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	127												
16	15	59/2	59/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	128												
16	15	30	30	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	129												
17	16		32	0.5	1	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	130	2.  Auf											
17	16		61/2	0.5	1	0	0	Chord	2/4	2	1	1/8	1/8	1	131												
17	16		31	0.5	1	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	132												
17	16		63/2	0.5	1	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	133												
17	16		32	0.5	1	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	134												
17	16		31	0.5	1	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	135												
17	16		63/2	0.5	1	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	136												
18	16	32	34	0.5	2	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	137	3.  Auf											
18	16	61/2	65/2	0.5	2	0	0	Chord	2/4	2	1	1/8	1/8	1	138												
18	16	31	33	0.5	2	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	139												
18	16	63/2	67/2	0.5	2	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	140												
18	16	32	34	0.5	2	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	141												
18	16	31	33	0.5	2	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	142												
18	16	63/2	67/2	0.5	2	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	143												
19	17	65/2	69/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	144	ei-											
19	17	33	35	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	145	-nem											
19	17	67/2	71/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	146	grü-											
19	17	34	36	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	147	-nen											
19	17	65/2	69/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	148												
19	17	33	35	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	149												
19	17	67/2	71/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	150												
19	17	34	36	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	151												
20	18	69/2	73/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	152	Hü-											
20	18	35	37	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	153	-gel											
20	18	36	38	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	154	da											
20	18	69/2	73/2	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	155												
20	18	36	38	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	156												
20	18	36	38	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	157												
21	19	73/2	77/2	0.0		0	0	Spanner	2/4	1	1	0															5
21	19	73/2	77/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	158	singt											5
21	19	37	39	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	159	ein											5
21	19	75/2	79/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	160	Vö-											5
21	19	38	40	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	161	-ge-											5
21	19	73/2	77/2	0.0		0	0	Spanner	2/4	2	1	0															6
21	19	73/2	77/2	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	162												6
21	19	75/2	79/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	163												6
21	19	75/2	79/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	164												6
21	19	38	40	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	165												6
21	19	73/2	77/2	1.0		0	0	Chord	2/4	3	1	1/4	1/4	1	166												
21	19	75/2	79/2	1.0		1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	167												
22	20	77/2	81/2	0.0		0	0	Spanner	2/4	1	1	0															
22	20	77/2	81/2	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	168	-lein;											
22	20	77/2	81/2	0.0		0	0	Spanner	2/4	2	1	0															
22	20	77/2	81/2	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	169												
22	20	40	42	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	170												
22	20	77/2	81/2	0.0		0	0	Spanner	2/4	2	2	0														3	
22	20	77/2	81/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	171											3	
22	20	39	41	1.0		1/8	1/8	Chord	2/4	2	2	1/4	1/4	1	172											3	
22	20	77/2	81/2	1.5		0	0	Chord	2/4	3	1	3/8	1/4	3/2	173												
22	20	40	42	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	174										11		
23	21	41	43	0.0		1/8	1/8	Spanner	2/4	1	1	0															7
23	21	41	43	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	175	mir											7
23	21	83/2	87/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	176	ist’s,											7
23	21	42	44	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	177	als											7
23	21	81/2	85/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	178												
23	21	41	43	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	179												
23	21	83/2	87/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	180												
23	21	42	44	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	181										12		
23	21	81/2	85/2	0.0		0	0	Spanner	2/4	2	2	0															
23	21	81/2	85/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	182												
23	21	41	43	1.0		1/8	1/8	Chord	2/4	2	2	1/4	1/4	1	183												
23	21	42	44	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	184												
23	21	81/2	85/2	0.5		0	0	Chord	2/4	3	1	1/8	1/8	1	185												
23	21	41	43	0.5		1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	186												
23	21	83/2	87/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	187												
23	21	42	44	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	188										13		
24	22	85/2	89/2	0.0		0	0	Spanner	2/4	1	1	0															
24	22	85/2	89/2	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	189	säng’s:											
24	22	44	46	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	190	Wer											
24	22	85/2	89/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	191												
24	22	43	45	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	192												
24	22	87/2	91/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	193												
24	22	44	46	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	194												
24	22	85/2	89/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	195												
24	22	43	45	1.0		1/8	1/8	Chord	2/4	2	2	1/4	1/4	1	196												
24	22	44	46	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	197												
24	22	85/2	89/2	0.5		0	0	Chord	2/4	3	1	1/8	1/8	1	198												
24	22	43	45	0.5		1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	199												
24	22	87/2	91/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	200												
24	22	44	46	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	201												
25	23	89/2	93/2	0.0		0	0	Spanner	2/4	1	1	0															8
25	23	89/2	93/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	202	nie-											8
25	23	45	47	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	203	-mals											8
25	23	91/2	95/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	204	Leid,									14		8
25	23	46	48	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	205												8
25	23	185/4	193/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	206	 recht											8
25	23	89/2	93/2	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	207												
25	23	89/2	93/2	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	208												
25	23	91/2	95/2	0.0		1/4	1/4	Spanner	2/4	2	2	0															9
25	23	91/2	95/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	209												9
25	23	46	48	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	210												9
25	23	89/2	93/2	2.0		0	0	Chord	2/4	3	1	1/2	1/2	1	211												
26	24	93/2	97/2	0.0		0	0	Spanner	2/4	1	1	0															
26	24	93/2	97/2	0.75		0	0	Chord	2/4	1	1	3/16	1/8	3/2	212	gro-											
26	24	189/4	197/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	213	-sses											
26	24	95/2	99/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	214	Leid											
26	24	48	50	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	215	er-											
26	24	93/2	97/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	216												9
26	24	47	49	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	217												9
26	24	48	50	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	218												
26	24	93/2	97/2	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	219												
26	24	95/2	99/2	0.0		1/4	1/4	Spanner	2/4	2	2	0															
26	24	93/2	97/2	1.0		0	0	Chord	2/4	3	1	1/4	1/4	1	220												
26	24	48	50	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	221												
27	25	97/2	101/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	222	-fah-									15		
27	25	49	51	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	223												
27	25	99/2	103/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	224	ren											
27	25	97/2	101/2	0.0		0	0	Spanner	2/4	2	1	0														4	
27	25	97/2	101/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	225											4	
27	25	49	51	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	226											4	
27	25	99/2	103/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	227											4	
27	25	50	52	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	228											4	
27	25	97/2	101/2	0.5		0	0	Chord	2/4	3	1	1/8	1/8	1	229												
27	25	49	51	1.0		1/8	1/8	Chord	2/4	3	1	1/4	1/4	1	230												
27	25	50	52	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	231												
27	25	49	51	0.5		1/8	1/8	Chord	2/4	3	2	1/8	1/8	1	232												
27	25	99/2	103/2	0.5		1/4	1/4	Chord	2/4	3	2	1/8	1/8	1	233												
28	26	52	54	0.0		3/8	3/8	Dynamic	2/4	1	1	0						mf									
28	26	52	54	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	234	wird											
28	26	101/2	105/2	0.0		0	0	Spanner	2/4	2	1	0															
28	26	101/2	105/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	235												
28	26	51	53	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	236												
28	26	52	54	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	237												
28	26	101/2	105/2	0.5		0	0	Chord	2/4	3	1	1/8	1/8	1	238												
28	26	51	53	1.0		1/8	1/8	Chord	2/4	3	1	1/4	1/4	1	239												
28	26	52	54	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	240												
29	27	105/2	109/2	0.75		0	0	Chord	2/4	1	1	3/16	1/8	3/2	241	nie			articAccentAbove								
29	27	213/4	221/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	242	recht 											
29	27	107/2	111/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	243	glück-											
29	27	54	56	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	244	-lich											
29	27	105/2	109/2	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	245												
29	27	105/2	109/2	2.0		0	0	Chord	2/4	3	1	1/2	1/2	1	246												
30	28	109/2	113/2	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	247	sein,											
30	28	111/2	115/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	248	nie 			articAccentAbove								
30	28	109/2	113/2	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	249												
30	28	56	58	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	250												
30	28	109/2	113/2	1.5		0	0	Chord	2/4	3	1	3/8	1/4	3/2	251												
30	28	56	58	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	252												
31	29	113/2	117/2	0.3333333333333333		0	0	Chord	2/4	1	1	1/12	1/8	2/3	253												
31	29	341/6	353/6	0.3333333333333333		1/12	1/12	Chord	2/4	1	1	1/12	1/8	2/3	254												
