mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0		0	3/8	Tempo	2/4	1	1	0								Langsam	50.0			1.0			
1	0	0	0	0.0		0	3/8	Tempo	2/4	1	1	0								𝅘𝅥=44	44.0	𝅘𝅥	44.0	0.0			
1	0	0	0	0.0		0	3/8	Dynamic	2/4	2	1	0						p									
1	0	0	0	0.5		0	3/8	Chord	2/4	2	1	1/8	1/8	1	0												
2	1	1/2	1/2	0.75		0	0	Chord	2/4	2	1	3/16	1/8	3/2	1												
2	1	5/4	5/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	2												
2	1	3/2	3/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	3												
2	1	2	2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	4												
3	2	4	4	0.0		3/8	3/8	Dynamic	2/4	1	1	0						p									
3	2	4	4	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	5	1.  Auf											
3	2	5/2	5/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	6												
3	2	3	3	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	7												
3	2	7/2	7/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	8												
3	2	4	4	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	9												
3	2	3	3	0.5		1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	10												
3	2	7/2	7/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	11												
4	3	9/2	9/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	12	ei-	2.  ei-										
4	3	5	5	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	13	-nem	-nem										
4	3	11/2	11/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	14	grü-	grü-										
4	3	6	6	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	15	-nen	-nen										
4	3	9/2	9/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	16												
4	3	5	5	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	17												
4	3	11/2	11/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	18												
4	3	6	6	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	19												
