mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0								Langsamundsehrleise	71.0			1.0				
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0								𝅘𝅥.=40	60.0	𝅘𝅥.	40.0	0.0				
1	1	0	0	0.0	0	0	Dynamic	3/8	2	1	0							p									
1	1	0	0	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	0										0			
1	1	3/4	3/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	1										0			
1	1	0	0	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	2													
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	3													
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	4													
1	1	0	0	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	5													
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	6													
1	1	1	1	0.25	1/4	1/4	Chord	3/8	3	1	1/16	1/16	1	7													
1	1	5/4	5/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16	1/16	1	8													
2	2	3/2	3/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	9										0			
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	10													
2	2	3/2	3/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	11													
2	2	7/4	7/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	12													
2	2	2	2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	13													
2	2	9/4	9/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	14													
2	2	5/2	5/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16	1/16	1	15													
2	2	11/4	11/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16	1/16	1	16													
3	3	3	3	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	17										1			
3	3	15/4	15/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	18										1			
3	3	3	3	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	19													
3	3	13/4	13/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	20													
3	3	7/2	7/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	21													
3	3	3	3	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	22													
3	3	15/4	15/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	23													
3	3	4	4	0.25	1/4	1/4	Chord	3/8	3	1	1/16	1/16	1	24													
3	3	17/4	17/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16	1/16	1	25													
4	4	9/2	9/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	26										1			
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	27													
4	4	9/2	9/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	28													
4	4	19/4	19/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	29													
4	4	5	5	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	30													
4	4	9/2	9/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	31													
4	4	21/4	21/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	32													
4	4	11/2	11/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16	1/16	1	33													
4	4	23/4	23/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16	1/16	1	34													
5	5	6	6	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	35										2			
5	5	27/4	27/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	36										2			
5	5	6	6	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	37													
5	5	25/4	25/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	38													
5	5	13/2	13/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	39													
5	5	6	6	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	40													
5	5	27/4	27/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	41													
5	5	7	7	0.25	1/4	1/4	Chord	3/8	3	1	1/16	1/16	1	42													
5	5	29/4	29/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16	1/16	1	43													
6	6	15/2	15/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	44										2			
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	45													
6	6	15/2	15/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	46													
