mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0									Sehrlebhaft	144.0			1.0				
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0									𝅘𝅥.=63	95.0	𝅘𝅥.	63.0	0.0				
1	1	0	0	0.0	0	0	Dynamic	6/8	2	1	0							f										
1	1	0	0	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	0										0			
1	1	1/4	1/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	1										0			
1	1	1/2	1/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	2										0			
1	1	3/4	3/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	3										0			
1	1	1	1	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	4													
1	1	3/2	3/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	5										1			
1	1	7/4	7/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	6										1			
1	1	2	2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	7										1			
1	1	9/4	9/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	8										1			
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	9													
1	1	0	0	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	10										2			
1	1	1/4	1/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	11										2			
1	1	1/2	1/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	12										2			
1	1	3/4	3/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	13										2			
1	1	1	1	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	14													
1	1	3/2	3/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	15										3			
1	1	7/4	7/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	16										3			
1	1	2	2	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	17										3			
1	1	9/4	9/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	18										3			
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	19													
2	2	3	3	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	20										4			
2	2	13/4	13/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	21										4			
2	2	7/2	7/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	22										4			
2	2	15/4	15/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	23										4			
2	2	4	4	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	24													
2	2	9/2	9/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	25										5			
2	2	19/4	19/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	26										5			
2	2	5	5	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	27										5			
2	2	21/4	21/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	28										5			
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	29													
2	2	3	3	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	30										6			
2	2	13/4	13/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	31										6			
2	2	7/2	7/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	32										6			
2	2	15/4	15/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	33										6			
2	2	4	4	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	34													
2	2	9/2	9/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	35										7			
2	2	19/4	19/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	36										7			
2	2	5	5	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	37										7			
2	2	21/4	21/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	38										7			
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	39													
3	3	6	6	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	40										8			
3	3	25/4	25/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	41										8			
3	3	13/2	13/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	42										8			
3	3	27/4	27/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	43										8			
3	3	7	7	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	44													
3	3	15/2	15/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	45				articAccentAbove									
3	3	33/4	33/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	46													
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	47				articStaccatoAbove									
3	3	6	6	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	48										9			
3	3	25/4	25/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	49										9			
3	3	13/2	13/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	50										9			
3	3	27/4	27/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	51										9			
3	3	7	7	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	52													
3	3	15/2	15/2	0.75	3/8	3/8	Chord	6/8	3	1	3/16		1/8	3/2	53				articAccentBelow									
3	3	33/4	33/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	54													
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	55				articStaccatoBelow									
4	4	9	9	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	56				articStaccatoAbove									
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	57				articStaccatoAbove									
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	58				articStaccatoAbove									
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	59													
4	4	9	9	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	60				articStaccatoAbove									
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	61				articStaccatoAbove									
4	4	10	10	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	62				articStaccatoAbove									
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	63													
5	5	13	13	0.0	1/4	1/4	Dynamic	6/8	1	1	0							f										
5	5	13	13	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	64	1.  O	2.  Es 											
5	5	27/2	27/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	65	Lust,	schwingt											
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	66	o	sich											
5	5	12	12	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	67										10			
5	5	49/4	49/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	68										10			
5	5	25/2	25/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	69										10			
5	5	51/4	51/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	70										10			
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	71													
5	5	27/2	27/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	72										11			
5	5	55/4	55/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	73										11			
5	5	14	14	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	74										11			
5	5	57/4	57/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	75										11			
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	76													
5	5	12	12	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	77										12			
5	5	49/4	49/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	78										12			
5	5	25/2	25/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	79										12			
5	5	51/4	51/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	80										12			
5	5	13	13	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	81													
5	5	27/2	27/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	82										13			
5	5	55/4	55/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	83										13			
5	5	14	14	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	84										13			
5	5	57/4	57/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	85										13			
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	86													
6	6	15	15	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	87	Lust	erd-											
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	88													
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	89	vom	und											
6	6	15	15	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	90													
6	6	61/4	61/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	91													
6	6	31/2	31/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	92													
6	6	63/4	63/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	93													
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	94													
6	6	33/2	33/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	95													
6	6	67/4	67/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	96													
6	6	17	17	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	97													
6	6	69/4	69/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	98													
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	99													
6	6	15	15	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	100													
6	6	61/4	61/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	101													
6	6	31/2	31/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	102													
6	6	63/4	63/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	103													
6	6	16	16	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	104													
6	6	33/2	33/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	105													
6	6	67/4	67/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	106													
6	6	17	17	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	107													
6	6	69/4	69/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	108													
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	109													
7	7	18	18	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	110	-Berg 	him-											
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	111													
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	112	ein	-mel-											
7	7	18	18	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	113													
7	7	73/4	73/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	114													
7	7	37/2	37/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	115													
7	7	75/4	75/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	116													
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	117													
7	7	39/2	39/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	118													
7	7	79/4	79/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	119													
7	7	20	20	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	120													
7	7	81/4	81/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	121													
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	122													
7	7	18	18	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	123													
7	7	73/4	73/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	124													
7	7	37/2	37/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	125													
7	7	75/4	75/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	126													
7	7	19	19	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	127													
7	7	39/2	39/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	128													
7	7	79/4	79/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	129													
7	7	20	20	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	130													
7	7	81/4	81/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	131													
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	132													
8	8	21	21	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	133	Lied	-wärts											
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	134	in's	der											
8	8	85/4	85/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	135													
8	8	43/2	43/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	136													
8	8	87/4	87/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	137													
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	138													
8	8	91/4	91/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	139													
8	8	23	23	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	140													
8	8	93/4	93/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	141													
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	142													
8	8	21	21	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	143													
8	8	85/4	85/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	144													
8	8	43/2	43/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	145													
8	8	87/4	87/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	146													
8	8	22	22	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	147													
8	8	45/2	45/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	148													
8	8	91/4	91/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	149													
8	8	23	23	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	150													
8	8	93/4	93/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	151													
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	152													
9	9	24	24	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	153	Land	See-											
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	154	hin-	-le											
9	9	97/4	97/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	155													
