mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
7	6	21/2	21/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	30			articStaccatoBelow									
7	6	11	11	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	31			articStaccatoBelow									
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	32			articStaccatoBelow									
7	6	12	12	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	33			articStaccatoAbove									
7	6	11	11	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	34			articStaccatoBelow									
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	35			articStaccatoBelow									
8	7	25/2	25/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	36	Blüm-											
8	7	13	13	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	37	-lein											
8	7	27/2	27/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	38	lach-											
8	7	14	14	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	39	-te:											
8	7	25/2	25/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	40			articStaccatoAbove									
8	7	13	13	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	41			articStaccatoAbove									
8	7	27/2	27/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	42			articStaccatoAbove									
8	7	14	14	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	43			articStaccatoBelow									
9	8	59/4	59/4	0.0	1/16	1/16	StaffText	2/4	1	1	0							ritard.								
9	8	59/4	59/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	44	was											
9	8	15	15	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	45	fällt											
9	8	61/4	61/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	46	dir											
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	47	ein.											
9	8	16	16	0.0	3/8	3/8	Dynamic	2/4	1	1	0					other-dynamics										
9	8	16	16	0.0	3/8	3/8	StaffText	2/4	1	1	0							a tempo								
9	8	16	16	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	48	Ich											
9	8	29/2	29/2	0.0	0	0	StaffText	2/4	2	1	0							ritard.								
9	8	29/2	29/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	49												
9	8	15	15	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	50												
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	51												
9	8	15	15	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	52												
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	53												
9	8	16	16	0.0	3/8	3/8	StaffText	2/4	3	1	0							a tempo								
10	9	33/2	33/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	54	bin											
10	9	18	18	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	55	ja											
10	9	17	17	0.0	1/8	1/8	Dynamic	2/4	2	1	0					mf										
10	9	17	17	1.5	1/8	1/8	Chord	2/4	2	1	3/8	1/4	3/2	56												
10	9	17	17	1.5	1/8	1/8	Chord	2/4	3	1	3/8	1/4	3/2	57												
11	10	37/2	37/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	58	fröh-											
11	10	19	19	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	59	-lich,											
11	10	20	20	0.0	3/8	3/8	Dynamic	2/4	1	1	0					f										
11	10	20	20	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	60	ich											
11	10	19	19	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	61												
11	10	19	19	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	62												
12	11	41/2	41/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	63	wei-									3		
12	11	22	22	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	64	-ne									3		
12	11	41/2	41/2	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	65										4		
12	11	41/2	41/2	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	66										5		
13	12	45/2	45/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	67	nicht											
13	12	24	24	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	68	die											
13	12	45/2	45/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	69												
13	12	45/2	45/2	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	70												
14	13	49/2	49/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	71	Freu-											
14	13	26	26	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	72	-den-											
14	13	49/2	49/2	0.0	0	0	Dynamic	2/4	2	1	0					f										
14	13	49/2	49/2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	73												
14	13	26	26	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	74												
14	13	49/2	49/2	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	75												
14	13	26	26	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	76												
15	14	53/2	53/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	77	thrä-											
15	14	55/2	55/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	78	-ne											
15	14	28	28	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	79	durch's											
15	14	53/2	53/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	80												
15	14	55/2	55/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	81												
15	14	53/2	53/2	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	82												
15	14	53/2	53/2	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	83												
16	15	57/2	57/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	84	Aug'											
16	15	30	30	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	85	mir											
16	15	57/2	57/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	86												
16	15	29	29	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	87												
16	15	59/2	59/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	88												
16	15	30	30	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	89												
16	15	57/2	57/2	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	90												
16	15	57/2	57/2	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	91												
17	16	61/2	61/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	92	bricht,											
17	16	32	32	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	93	die											
17	16	61/2	61/2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	94												
17	16	32	32	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	95												
17	16	61/2	61/2	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	96												
17	16	32	32	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	97												
18	17	65/2	65/2	0.0	0	0	Spanner	2/4	1	1	0															0
18	17	65/2	65/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	98	Freu-									6		0
18	17	67/2	67/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	99	-den-									6		0
18	17	65/2	65/2	0.0	0	0	Spanner	2/4	2	1	0															1
18	17	65/2	65/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	100												1
18	17	67/2	67/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	101												1
18	17	65/2	65/2	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	102												
18	17	67/2	67/2	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	103												
19	18	69/2	69/2	0.0	0	0	Spanner	2/4	1	1	0															
19	18	69/2	69/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	104	-thrä-											
19	18	71/2	71/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	105	-ne 											
19	18	36	36	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	106	durch's											
19	18	69/2	69/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	107												1
19	18	71/2	71/2	0.0	1/4	1/4	Spanner	2/4	2	1	0															
19	18	36	36	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	108												
19	18	69/2	69/2	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	109												
19	18	36	36	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	110												
20	19	73/2	73/2	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	111	Aug'											
20	19	75/2	75/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	112												
20	19	75/2	75/2	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	113												
21	20	77/2	77/2	0.0	0	0	Spanner	2/4	1	1	0														0	
21	20	77/2	77/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	114											0	
21	20	40	40	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	115	mir										0	
21	20	77/2	77/2	0.0	0	0	Spanner	2/4	2	1	0														1	
21	20	77/2	77/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	116											1	
21	20	79/2	79/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	117											1	
21	20	77/2	77/2	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	118												
21	20	79/2	79/2	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	119												
22	21	81/2	81/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	120	bricht.										0	
22	21	83/2	83/2	0.0	1/4	1/4	Spanner	2/4	1	1	0															
22	21	81/2	81/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	121											1	
22	21	41	41	0.0	1/8	1/8	Dynamic	2/4	2	1	0					p										
22	21	41	41	0.0	1/8	1/8	Spanner	2/4	2	1	0															
22	21	41	41	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	122			articStaccatoAbove									
22	21	83/2	83/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	123			articStaccatoAbove									
22	21	42	42	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	124			articStaccatoBelow									
22	21	81/2	81/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	125												
22	21	42	42	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	126			articStaccatoAbove									
23	22	85/2	85/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	127			articStaccatoBelow									
23	22	43	43	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	128			articStaccatoBelow									
23	22	87/2	87/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	129			articStaccatoBelow									
23	22	44	44	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	130			articStaccatoBelow									
23	22	85/2	85/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	131			articStaccatoAbove									
23	22	43	43	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	132			articStaccatoAbove									
23	22	87/2	87/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	133			articStaccatoAbove									
23	22	44	44	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	134			articStaccatoAbove									
24	23	89/2	89/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	135			articStaccatoBelow									
24	23	91/2	91/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	136												
24	23	89/2	89/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	137			articStaccatoBelow									
24	23	91/2	91/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	138			articStaccatoBelow									
25	24	48	48	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	139	Du											
25	24	93/2	93/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	140												
25	24	93/2	93/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	141												
26	25	97/2	97/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	142	Mor-		articStaccatoAbove							7		
26	25	99/2	99/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	143	-gen-		articStaccatoAbove									
26	25	97/2	97/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	144			articStaccatoAbove							8		
26	25	99/2	99/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	145			articStaccatoAbove									
26	25	97/2	97/2	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	146			articStaccatoAbove							9		
26	25	99/2	99/2	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	147			articStaccatoAbove									
27	26	101/2	101/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	148	-him-											
27	26	51	51	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	149	-mel,											
27	26	52	52	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	150	bist											
27	26	101/2	101/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	151			articStaccatoAbove									
27	26	51	51	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	152			articStaccatoAbove									
27	26	101/2	101/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	153			articStaccatoAbove									
27	26	51	51	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	154			articStaccatoAbove									
28	27	105/2	105/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	155	blu-											
28	27	54	54	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	156	-tig											
28	27	105/2	105/2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	157												
28	27	54	54	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	158												
28	27	105/2	105/2	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	159												
28	27	54	54	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	160												
29	28	109/2	109/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	161	roth,											
29	28	109/2	109/2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	162												
29	28	56	56	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	163			articStaccatoAbove							10		
29	28	109/2	109/2	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	164												
30	29	57	57	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	165	als		articStaccatoBelow							11		
30	29	115/2	115/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	166	lä-		articStaccatoBelow							11		
30	29	58	58	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	167	-ge		articStaccatoBelow									
30	29	113/2	113/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	168										10		
30	29	57	57	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	169			articStaccatoBelow							10		
30	29	115/2	115/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	170			articStaccatoBelow							10		
30	29	58	58	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	171			articStaccatoBelow									
31	30	117/2	117/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	172	dei-									12		
31	30	59	59	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	173	-ne									12		
31	30	119/2	119/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	174	Son-									12		
31	30	60	60	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	175	-ne											
31	30	117/2	117/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	176										13		
31	30	59	59	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	177			articStaccatoBelow							13		
31	30	119/2	119/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	178			articStaccatoBelow									
31	30	60	60	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	179			articStaccatoAbove							14		
31	30	59	59	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	180			articStaccatoAbove									
31	30	119/2	119/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	181			articStaccatoAbove									
32	31	62	62	0.0	3/8	3/8	StaffText	2/4	1	1	0							<i>ritard.</i>								
32	31	62	62	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	182	im											
32	31	121/2	121/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	183			articStaccatoAbove							14		
32	31	61	61	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	184			articStaccatoAbove							14		
32	31	123/2	123/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	185			articStaccatoAbove									
32	31	62	62	0.0	3/8	3/8	StaffText	2/4	2	1	0							ritard.								
32	31	62	62	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	186												
32	31	61	61	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	187			articStaccatoAbove							15		
32	31	123/2	123/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	188			articStaccatoAbove							15		
32	31	62	62	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	189			articStaccatoAbove									
33	32	125/2	125/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	190	Mee-											
33	32	63	63	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	191	-re											
33	32	127/2	127/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	192	todt?											
33	32	64	64	0.0	3/8	3/8	StaffText	2/4	1	1	0							a tempo								
33	32	64	64	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	193	Da											
33	32	125/2	125/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	194												
33	32	63	63	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	195												
33	32	127/2	127/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	196												
33	32	64	64	0.0	3/8	3/8	StaffText	2/4	2	1	0							a tempo								
33	32	125/2	125/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	197												
33	32	63	63	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	198												
33	32	127/2	127/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	199												
34	33	129/2	129/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	200	lacht											
34	33	66	66	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	201	der											
34	33	129/2	129/2	0.0	0	0	Dynamic	2/4	2	1	0					mf										
34	33	65	65	1.5	1/8	1/8	Chord	2/4	2	1	3/8	1/4	3/2	202												
34	33	65	65	1.5	1/8	1/8	Chord	2/4	3	1	3/8	1/4	3/2	203												
35	34	133/2	133/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	204	Him-											
35	34	67	67	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	205	-mel											
35	34	68	68	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	206	und											
35	34	67	67	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	207												
35	34	67	67	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	208												
36	35	137/2	137/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	209	ruft											
36	35	70	70	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	210	mich											
36	35	137/2	137/2	0.0	0	0	Spanner	2/4	2	1	0															2
36	35	137/2	137/2	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	211										16		2
36	35	137/2	137/2	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	212										17		
37	36	141/2	141/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	213	an:											
37	36	141/2	141/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	214												2
37	36	143/2	143/2	0.0	1/4	1/4	Spanner	2/4	2	1	0															
37	36	72	72	0.0	3/8	3/8	Dynamic	2/4	2	1	0					f										
37	36	72	72	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	215												
37	36	141/2	141/2	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	216												
37	36	72	72	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	217												
38	37	74	74	0.0	3/8	3/8	Dynamic	2/4	1	1	0					f										
38	37	74	74	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	218	ich											
38	37	145/2	145/2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	219												
38	37	74	74	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	220												
38	37	145/2	145/2	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	221												
38	37	74	74	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	222												
39	38	149/2	149/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	223	streu-											
39	38	151/2	151/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	224	-e											
39	38	76	76	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	225	ja											
39	38	149/2	149/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	226												
39	38	151/2	151/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	227												
39	38	149/2	149/2	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	228												
39	38	149/2	149/2	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	229												
40	39	153/2	153/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	230	Ro-									18		
40	39	78	78	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	231												
40	39	153/2	153/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	232										19		
40	39	77	77	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	233										19		
40	39	155/2	155/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	234										19		
40	39	78	78	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	235												
40	39	153/2	153/2	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	236												
40	39	153/2	153/2	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	237												
41	40	157/2	157/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	238	-sen											
41	40	80	80	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	239	auf											
41	40	157/2	157/2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	240												
41	40	80	80	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	241												
41	40	157/2	157/2	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	242												
41	40	80	80	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	243												
42	41	161/2	161/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	244	ih-											
42	41	163/2	163/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	245	-re											
42	41	161/2	161/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	246												
