mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0								Allegretto	116.0			1.0			
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0			
1	0	0	0	0.5	0	3/8	Chord	2/4	1	1	1/8	1/8	1	0	Was											
2	1	1/2	1/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	1	weinst		articStaccatoAbove							0		
2	1	3/2	3/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	2	du,		articStaccatoAbove									
2	1	1/2	1/2	0.0	0	0	Dynamic	2/4	2	1	0					p										
2	1	1/2	1/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	3			articStaccatoAbove							1		
2	1	3/2	3/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	4			articStaccatoAbove									
2	1	1/2	1/2	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	5			articStaccatoAbove							2		
2	1	3/2	3/2	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	6			articStaccatoAbove									
3	2	5/2	5/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	7	Blüm-											
3	2	3	3	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	8	-lein,											
3	2	4	4	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	9	im											
3	2	5/2	5/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	10			articStaccatoBelow									
3	2	3	3	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	11			articStaccatoBelow									
3	2	4	4	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	12												
3	2	5/2	5/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	13			articStaccatoAbove									
3	2	3	3	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	14			articStaccatoAbove									
4	3	9/2	9/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	15	Mor-		articAccentAbove									
4	3	6	6	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	16	-gen-											
4	3	9/2	9/2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	17			articAccentAbove									
4	3	6	6	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	18												
4	3	9/2	9/2	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	19			articAccentAbove									
4	3	6	6	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	20												
5	4	13/2	13/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	21	-schein?											
5	4	13/2	13/2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	22												
5	4	8	8	0.0	3/8	3/8	Dynamic	2/4	2	1	0					p										
5	4	8	8	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	23												
5	4	13/2	13/2	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	24												
6	5	17/2	17/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	25			articStaccatoBelow									
6	5	9	9	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	26			articStaccatoBelow									
6	5	19/2	19/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	27			articStaccatoBelow									
6	5	10	10	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	28			articStaccatoBelow									
7	6	12	12	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	29	Das											
