mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	TextLine	TextLine_rit.	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
6	6	46/3	46/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	58									6						
6	6	47/3	47/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	59															
6	6	16	16	2.0	1/4	1/4	Chord	3/4	2	1	1/2	r8	1/2	1	60															
6	6	15	15	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	61									7						
6	6	46/3	46/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	62									7						
6	6	47/3	47/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	63															
6	6	16	16	2.0	1/4	1/4	Chord	3/4	3	1	1/2	r8	1/2	1	64															
7	7	18	18	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	65	Blät-														
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	66	-ter														
7	7	20	20	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	67	flim-								8						
7	7	61/3	61/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	68	-men								8						
7	7	62/3	62/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	69	und														
7	7	55/3	55/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	70									9						
7	7	56/3	56/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	71															
7	7	19	19	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	72															
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	73															
7	7	20	20	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	74															
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	75															
7	7	18	18	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	76									10						
7	7	55/3	55/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	77									10						
7	7	56/3	56/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	78															
7	7	19	19	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	79															
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	80															
7	7	20	20	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	81															
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	82															
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	83	bli-														
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	84	-tzen,														
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	85	der														
8	8	64/3	64/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	86									11						
8	8	65/3	65/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	87															
8	8	22	22	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	88															
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	89															
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	90															
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	91															
8	8	21	21	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	92									12						
8	8	64/3	64/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	93									12						
8	8	65/3	65/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	94															
8	8	22	22	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	95															
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	96															
8	8	23	23	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	97															
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	98															
9	9	24	24	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	99	Kelch														
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	100	ist														
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	101	weiss														
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	102	wie														
9	9	73/3	73/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	103									13						
9	9	74/3	74/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	104															
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	105															
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	106															
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	107															
9	9	24	24	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	108									14						
9	9	73/3	73/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	109									14						
9	9	74/3	74/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	110															
9	9	25	25	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	111															
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	112															
9	9	26	26	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	113															
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	114															
10	10	27	27	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	115	Schnee.														
10	10	59/2	59/2	0.0	5/8	5/8	Dynamic	3/4	1	1	0						mf													
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	116	Da														
10	10	82/3	82/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	117									15						
10	10	83/3	83/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	118															
10	10	28	28	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	119															
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	120															
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	121															
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	122															
10	10	27	27	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	123															
10	10	82/3	82/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	124															
10	10	83/3	83/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	125															
10	10	28	28	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	126															
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	127															
10	10	29	29	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	128															
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	129															
11	11	30	30	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	130	giesst														
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	131	der														
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	132	Mond														
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	133	vom														
11	11	30	30	0.0	0	0	Dynamic	3/4	2	1	0						mf													
11	11	91/3	91/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	134									16						
11	11	92/3	92/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	135															
11	11	31	31	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	136															
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	137															
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	138															
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	139															
11	11	30	30	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	140									17						
11	11	91/3	91/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	141									17						
11	11	92/3	92/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	142															
11	11	31	31	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	143															
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	144															
11	11	32	32	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	145															
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	146															
12	12	33	33	0.0	0	0	Spanner	3/4	1	1	0																		2	
12	12	33	33	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	147	Him-													2	
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	148	-mel													2	
12	12	100/3	100/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	149									18						
12	12	101/3	101/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	150															
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	151															
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	152															
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	153															
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	154															
12	12	33	33	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	155									19						
12	12	100/3	100/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	156									19						
12	12	101/3	101/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	157															
12	12	34	34	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	158															
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	159															
12	12	35	35	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	160															
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	161															
13	13	36	36	0.0	0	0	Spanner	3/4	1	1	0																			
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	162	all'														
13	13	37	37	0.0	1/4	1/4	Spanner	3/4	1	1	0																			2
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	163	sei-														2
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	164	-nen														2
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	165	gold'-														2
