mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	TextLine	TextLine_rit.	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	243															
18	18	51	51	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	244	-ein.														
18	18	154/3	154/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	245									30						
18	18	155/3	155/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	246															
18	18	52	52	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	247															
18	18	105/2	105/2	0.0	3/8	3/8	Spanner	3/4	2	1	0																		3	
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	248														3	
18	18	53	53	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	249														3	
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	250														3	
18	18	51	51	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	251									31						
18	18	154/3	154/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	252									31						
18	18	155/3	155/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	253															
18	18	52	52	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	254															
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	255															
18	18	53	53	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	256															
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	257															
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0																			
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0																			3
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	258															3
19	19	55	55	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
19	19	55	55	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	259															
19	19	111/2	111/2	0.0	3/8	3/8	Spanner	3/4	2	1	0																		4	
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	260														4	
19	19	56	56	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	261														4	
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	262														4	
19	19	163/3	163/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	2	1/12		1/8	2/3	263									32					4	
19	19	164/3	164/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	2	1/12		1/8	2/3	264														4	
19	19	55	55	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	265														4	
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	266														4	
19	19	56	56	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	267														4	
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	268														4	
19	19	54	54	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	269									33						
19	19	163/3	163/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	270									33						
19	19	164/3	164/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	271															
19	19	55	55	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	272															
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	273															
19	19	56	56	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	274															
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	275															
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0																			
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	276															
20	20	58	58	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	277															
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	278															
