mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0							𝅘𝅥.=40	60.0	𝅘𝅥.	40.0	0.0						
1	1	5/2	5/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0					p												
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	0	1. Der													
1	1	0	0	0.0	0	0	Dynamic	6/8	2	1	0					p												
1	1	1	1	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	1									0					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	2									0					
1	1	2	2	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	3									0					
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	4									0					
1	1	0	0	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	5									1					
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	6														
1	1	1	1	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	7									2					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	8									2					
1	1	2	2	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	9									2					
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	10									2					
2	2	3	3	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	11	Mond													
2	2	4	4	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	12	kommt													
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	13	still													
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	14	ge-													
2	2	3	3	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	15									0					
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	16									0					
2	2	4	4	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	17									0					
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	18									0					
2	2	5	5	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	19									0					
