mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0							Nichtschnell	71.0			1.0			
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0							𝅘𝅥.=44	66.0	𝅘𝅥.	44.0	0.0			
1	1	0	0	0.0	0	0	StaffText	6/8	2	1	0						ben legato								
1	1	0	0	0.0	0	0	Dynamic	6/8	2	1	0					p									
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	0									0		
1	1	1	1	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	1									0		
1	1	3/2	3/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	2									0		
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	3											
1	1	3/2	3/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	4											
1	1	0	0	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	5									1		
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	6									1		
1	1	1	1	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	7									1		
1	1	3/2	3/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	8											
1	1	0	0	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	9											
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	10									2		
2	2	4	4	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	11									2		
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	12									2		
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	13											
2	2	3	3	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	14									3		
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	15									3		
2	2	4	4	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	16									3		
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	17									3		
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	18											
2	2	3	3	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	19											
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	20									4		
3	3	7	7	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	21									4		
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	22									4		
3	3	8	8	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	23									4		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	24									4		
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	25											
3	3	6	6	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	26									5		
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	27									5		
3	3	7	7	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	28									5		
