mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	29									5		
3	3	8	8	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	30									5		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	31									5		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	32	Sie										
4	4	9	9	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	33									4		
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	34									4		
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	35									4		
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	36									4		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	37											
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	38											
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	39											
4	4	9	9	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	40									5		
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	41									5		
4	4	10	10	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	42									5		
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	43											
4	4	9	9	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	44											
5	5	12	12	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	45	lieb-										
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	46	-ten										
5	5	13	13	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	47	sich										
5	5	27/2	27/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	48	Bei-										
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	49	-de,										
5	5	12	12	0.0	0	0	Dynamic	6/8	2	1	0					p									
5	5	25/2	25/2	0.0	1/8	1/8	Spanner	6/8	2	1	0													0	
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	50									6	0	
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	51									6	0	
5	5	27/2	27/2	0.0	3/8	3/8	Spanner	6/8	2	1	0												6		
5	5	27/2	27/2	0.0	3/8	3/8	Spanner	6/8	2	1	0												6		0
5	5	27/2	27/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	52									6		0
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	53											0
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	54											0
5	5	12	12	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	55											
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	56											
5	5	13	13	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	57											
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	58											
5	5	12	12	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	59											
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	60	doch 										
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	61	kei-										
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	62	-ner										
6	6	15	15	0.0	0	0	Spanner	6/8	2	1	0														
6	6	31/2	31/2	0.0	1/8	1/8	Spanner	6/8	2	1	0													1	
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	63									7	1	
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	64									7	1	
6	6	33/2	33/2	0.0	3/8	3/8	Spanner	6/8	2	1	0												7		
6	6	33/2	33/2	0.0	3/8	3/8	Spanner	6/8	2	1	0												7		1
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	65									7		1
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	66											1
6	6	15	15	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	67											
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	68											
6	6	16	16	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	69											
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	70											
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	71											
6	6	15	15	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	72											
7	7	39/2	39/2	0.0	3/8	3/8	Spanner	6/8	1	1	0														2
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	73	wollt'										2
7	7	20	20	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	74	es										2
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	75	dem										2
7	7	18	18	0.0	0	0	Spanner	6/8	2	1	0														
7	7	37/2	37/2	0.0	1/8	1/8	Spanner	6/8	2	1	0													2	
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	76									8	2	
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	77									8	2	
7	7	39/2	39/2	0.0	3/8	3/8	Spanner	6/8	2	1	0												8		
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	78									8		
7	7	20	20	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	79									8		
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	80									8		
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	81											
7	7	18	18	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	82											
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	83											
7	7	19	19	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	84											
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	85											
7	7	20	20	0.0	1/2	1/2	StaffText	6/8	3	1	0						dim.								
7	7	20	20	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	86											
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	87											
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	3	2	3/8	1/4	3/2	88											
8	8	21	21	0.0	0	0	Spanner	6/8	1	1	0														
8	8	21	21	0.0	0	0	Spanner	6/8	1	1	0														3
8	8	21	21	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	89	An-										3
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	90	-dern 										3
8	8	22	22	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	91	ge-										3
8	8	45/2	45/2	0.0	3/8	3/8	Spanner	6/8	1	1	0														
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	92	-stehn										
8	8	21	21	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	93									8		
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	94									8		
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	95									8		
8	8	45/2	45/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	96											
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	97											
8	8	21	21	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	98											
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	99											
8	8	22	22	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	100											
8	8	45/2	45/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	101											
8	8	21	21	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	102											
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	3	2	3/8	1/4	3/2	103											
9	9	24	24	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	104											
9	9	24	24	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	105											
9	9	99/4	99/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	106											
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	107											
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	108											
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	109											
9	9	24	24	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	110											
10	10	27	27	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	111											
10	10	59/2	59/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0					mf									
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	112	Sie										
10	10	27	27	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	113											
10	10	27	27	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	114											
10	10	27	27	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	115											
11	11	30	30	0.75	0	0	Chord	6/8	1	1	3/16	1/8	3/2	116	sa-										
11	11	123/4	123/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	117	-hen 										
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	118	sich										
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	119	an										
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	120	so										
11	11	30	30	0.0	0	0	Dynamic	6/8	2	1	0					mf									
11	11	30	30	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	121											
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	122											
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	123											
11	11	30	30	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	124											
12	12	33	33	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	125	feind-										
12	12	69/2	69/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	126	-lich,										
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	127	und										
12	12	33	33	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	128									9		
12	12	69/2	69/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	129											
12	12	33	33	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	130									10		
12	12	69/2	69/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	131											
12	12	33	33	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	132									11		
12	12	69/2	69/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	133											
13	13	36	36	0.0	0	0	Dynamic	6/8	1	1	0					p									
13	13	36	36	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	134	woll-								12		
13	13	37	37	0.0	1/4	1/4	Spanner	6/8	1	1	0													3	
13	13	37	37	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	135										3	
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	136	-ten									3	
13	13	77/2	77/2	0.0	5/8	5/8	Spanner	6/8	1	1	0														
13	13	77/2	77/2	0.0	5/8	5/8	Spanner	6/8	1	1	0														4
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	137	vor										4
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	138									13		
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	139									13		
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	140									13		
13	13	36	36	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	141											
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	142											
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	143											
13	13	36	36	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	144									14		
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	145									14		
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	146									14		
14	14	39	39	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	147	Lie-										4
14	14	81/2	81/2	0.0	3/8	3/8	Spanner	6/8	1	1	0														
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	148											
14	14	41	41	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	149	-be										
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	150	ver-										
14	14	39	39	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	151									13, 15		
14	14	81/2	81/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	152											
14	14	39	39	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	153											
15	15	42	42	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	154	-gehn.										
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	155									16		
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	156									16		
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	157									16		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	158											
15	15	87/2	87/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	159											
15	15	42	42	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	160											
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	161											
15	15	43	43	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	162											
15	15	87/2	87/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	163											
15	15	42	42	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	164											
16	16	91/2	91/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	165									17		
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	166									17		
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	167									17		
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	168											
16	16	45	45	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	169									18		
16	16	91/2	91/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	170									18		
16	16	46	46	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	171									18		
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	172									18		
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	173											
16	16	45	45	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	174											
17	17	97/2	97/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	175									19		
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	176									19		
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	177									19		
17	17	50	50	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	178									19		
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	179									19		
17	17	99/2	99/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	180											
17	17	48	48	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	181											
17	17	97/2	97/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	182									20		
17	17	49	49	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	183											
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	184									21		
17	17	50	50	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	185									21		
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	186											
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	187	Sie										
18	18	51	51	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	188									19		
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	189									19		
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	190									19		
18	18	105/2	105/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	191									19		
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	192											
18	18	51	51	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	193											
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	194											
18	18	105/2	105/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	195											
18	18	51	51	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	196											
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	197											
18	18	52	52	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	198											
18	18	105/2	105/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	199											
18	18	51	51	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	200											
19	19	54	54	0.75	0	0	Chord	6/8	1	1	3/16	1/8	3/2	201	tren-										
19	19	219/4	219/4	0.0	3/16	3/16	Spanner	6/8	1	1	0													4	
19	19	219/4	219/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	202	-nten 									4	
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	203	sich 									4	
19	19	111/2	111/2	0.0	3/8	3/8	Spanner	6/8	1	1	0														
19	19	111/2	111/2	0.0	3/8	3/8	Spanner	6/8	1	1	0														5
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	204	end-										5
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	205	-lich										5
19	19	109/2	109/2	0.0	1/8	1/8	Spanner	6/8	2	1	0													5	
19	19	109/2	109/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	206										5	
19	19	55	55	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	207										5	
19	19	111/2	111/2	0.0	3/8	3/8	Spanner	6/8	2	1	0														
19	19	111/2	111/2	0.0	3/8	3/8	Spanner	6/8	2	1	0														6
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	208											6
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	209											6
19	19	111/2	111/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	210											6
19	19	54	54	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	211											
19	19	109/2	109/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	212											
19	19	55	55	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	213											
19	19	111/2	111/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	214											
19	19	54	54	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	215											
20	20	57	57	0.0	0	0	Tempo	6/8	1	1	0							stringendo	72.0			1.0			
20	20	57	57	0.0	0	0	Spanner	6/8	1	1	0														
20	20	58	58	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	216	und 										
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	217	sah'n 										
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	218	sich										
20	20	57	57	0.0	0	0	StaffText	6/8	2	1	0						stringendo								
20	20	57	57	0.0	0	0	Spanner	6/8	2	1	0														
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	219											
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	220											
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	221											
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	222											
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	223											
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	224											
20	20	57	57	0.0	0	0	StaffText	6/8	3	1	0						string.								
20	20	57	57	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	225											
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	226											
20	20	58	58	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	227											
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	228											
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	229											
20	20	57	57	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	230											
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	231	nur 										
21	21	62	62	0.0	1/2	1/2	Tempo	6/8	1	1	0							rit.	78.0			1.0			
21	21	62	62	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	232	noch										
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	233	 zu										
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	234											
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	235											
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	236											
21	21	62	62	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	237											
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	238											
21	21	123/2	123/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	239											
21	21	60	60	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	240											
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	241											
21	21	61	61	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	242											
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	243											
21	21	62	62	0.0	1/2	1/2	StaffText	6/8	3	1	0						rit.								
21	21	62	62	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	244											
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	245											
21	21	123/2	123/2	1.5	3/8	3/8	Chord	6/8	3	2	3/8	1/4	3/2	246											
22	22	63	63	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	247	wei-										
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	248	-len										
22	22	64	64	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	249	im										
