mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	3	1	Ab.V7(94){	-2	-6	/	Ab	I		V7(94)	V		7	94			{	Mm7	0	0	-3, -4, -2, -5	-1	-3	-3	0	5	0.0	0.0	3.25	0.0
2	2	0	0	3/4	3	1	V7}				Ab	I		V7	V		7				}	Mm7	0	0	-3, 1, -2, -5		-3	-3	0	6	0.0	0.0	3.875	0.0
3	3	0	0	3/4	3	1	I				Ab	I		I	I							M	0	0	-4, 0, -3		-4	-4	0	19	0.0	0.0	2.25	0.0
3	3	1/2	1/2	3/4	3	1	V6				Ab	I		V6	V		6					M	0	0	1, -2, -3		-3	1	0	5	0.0	0.0	0.625	0.0
3	3	5/8	5/8	3/4	3	1	I[I				Ab	I	I	I	I							M	0	0	-4, 0, -3		-4	-4	0	5	0.0	0.0	0.625	0.0
4	4	0	0	3/4	3	1	V43(6#4#2)				Ab	I	I	V43(6#4#2)	V		43	6#4#2				Mm7	0	0	3, 0, -5, -3, 6		-3	3	5	7	0.4166666666666667	0.4166666666666667	0.75	0.35714285714285715
4	4	1/4	1/4	3/4	3	1	V43				Ab	I	I	V43	V		43					Mm7	0	0	-2, -5, -3, 1		-3	-2	2	9	0.18181818181818182	0.25	1.25	0.16666666666666666
4	4	1/2	1/2	3/4	3	1	#viio7/iii				Ab	I	I	#viio7/iii	#vii	o	7		iii			o7	0	0	5, 2, -1, -4		5	5	0	11	0.0	0.0	1.5	0.0
5	5	0	0	3/4	3	1	I]				Ab	I	I	I	I							M	0	0	-4, 0, -3		-4	-4	0	10	0.0	0.0	1.125	0.0
5	5	1/4	1/4	3/4	3	1	I6				Ab	I		I6	I		6					M	0	0	0, -3, -4		-4	0	0	9	0.0	0.0	1.125	0.0
5	5	1/2	1/2	3/4	3	1	IV(+2)				Ab	I		IV(+2)	IV			+2				M	0	0	-5, -1, -4	-3	-5	-5	0	5	0.0	0.0	0.625	0.0
5	5	5/8	5/8	3/4	3	1	I6				Ab	I		I6	I		6					M	0	0	0, -3, -4		-4	0	0	5	0.0	0.0	0.625	0.0
6	6	0	0	3/4	3	1	V				Ab	I		V	V							M	0	0	-3, 1, -2		-3	-3	0	18	0.0	0.0	4.041666666666667	0.0
7	7	0	0	3/4	3	1	v				Ab	I		v	v							m	0	0	-3, -6, -2		-3	-3	0	15	0.0	0.0	1.8333333333333333	0.0
7	7	1/2	1/2	3/4	3	1	ii6				Ab	I		ii6	ii		6					m	0	0	-5, -1, -2		-2	-5	4	6	0.4	0.5	0.6666666666666666	0.4285714285714286
7	7	2/3	2/3	3/4	3	1	V43/ii	0	-9	/	Ab	I		V43/ii	V		43		ii			Mm7	0	0	0, -3, -1, 3		-1	0	0	1	0.0	0.0	0.08333333333333333	0.0
8	8	0	0	3/4	3	1	ii				Ab	I		ii	ii							m	0	0	-2, -5, -1		-2	-2	0	28	0.0	0.0	3.2916666666666665	0.0
8	8	5/8	5/8	3/4	3	1	IV				Ab	I		IV	IV							M	0	0	-5, -1, -4		-5	-5	0	27	0.0	0.0	3.1666666666666665	0.0
9	9	1/2	1/2	3/4	3	1	ii7(9)				Ab	I		ii7(9)	ii		7	9				mm7	0	0	-2, -5, -1, -4	0	-2	-2	0	2	0.0	0.0	0.25	0.0
9	9	5/8	5/8	3/4	3	1	ii7				Ab	I		ii7	ii		7					mm7	0	0	-2, -5, -1, -4		-2	-2	0	6	0.0	0.0	0.75	0.0
10	10	0	0	3/4	3	1	V7|HC}				Ab	I		V7	V		7			HC	}	Mm7	0	0	-3, 1, -2, -5		-3	-3	0	21	0.0	0.0	2.5416666666666665	0.0
10	10	1/2	1/2	3/4	3	1	V7(94)				Ab	I		V7(94)	V		7	94				Mm7	0	0	-3, -4, -2, -5	-1	-3	-3	0	4	0.0	0.0	0.5	0.0
10	10	5/8	5/8	3/4	3	1	V7{				Ab	I		V7	V		7				{	Mm7	0	0	-3, 1, -2, -5		-3	-3	0	5	0.0	0.0	0.625	0.0
11	11	0	0	3/4	3	1	I				Ab	I		I	I							M	0	0	-4, 0, -3		-4	-4	0	19	0.0	0.0	2.25	0.0
11	11	1/2	1/2	3/4	3	1	V6				Ab	I		V6	V		6					M	0	0	1, -2, -3		-3	1	0	5	0.0	0.0	0.625	0.0
11	11	5/8	5/8	3/4	3	1	I[I				Ab	I	I	I	I							M	0	0	-4, 0, -3		-4	-4	0	5	0.0	0.0	0.625	0.0
12	12	0	0	3/4	3	1	V43(6#4#2)				Ab	I	I	V43(6#4#2)	V		43	6#4#2				Mm7	0	0	3, 0, -5, -3, 6		-3	3	9	13	0.4090909090909091	0.9166666666666666	1.75	0.34375
12	12	1/2	1/2	3/4	3	1	V43				Ab	I	I	V43	V		43					Mm7	0	0	-2, -5, -3, 1		-3	-2	2	9	0.18181818181818182	0.25	1.25	0.16666666666666666
13	13	0	0	3/4	3	1	#viio7/iii]	-0.73071	-6.0118	/	Ab	I	I	#viio7/iii	#vii	o	7		iii			o7	0	0	5, 2, -1, -4		5	5	0	18	0.0	0.0	1.9166666666666667	0.0
13	13	3/8	3/8	3/4	3	1	I6				Ab	I		I6	I		6					M	0	0	0, -3, -4		-4	0	0	5	0.0	0.0	0.625	0.0
13	13	1/2	1/2	3/4	3	1	IV(+2)				Ab	I		IV(+2)	IV			+2				M	0	0	-5, -1, -4	-3	-5	-5	0	5	0.0	0.0	0.625	0.0
13	13	5/8	5/8	3/4	3	1	I6				Ab	I		I6	I		6					M	0	0	0, -3, -4		-4	0	0	5	0.0	0.0	0.625	0.0
14	14	0	0	3/4	3	1	V				Ab	I		V	V							M	0	0	-3, 1, -2		-3	-3	0	32	0.0	0.0	3.9166666666666665	0.0
15	15	0	0	3/4	3	1	v				Ab	I		v	v							m	0	0	-3, -6, -2		-3	-3	0	23	0.0	0.0	2.5416666666666665	0.0
15	15	1/2	1/2	3/4	3	1	ii6				Ab	I		ii6	ii		6					m	0	0	-5, -1, -2		-2	-5	0	5	0.0	0.0	0.625	0.0
15	15	5/8	5/8	3/4	3	1	V43/ii	0	-9	/	Ab	I		V43/ii	V		43		ii			Mm7	0	0	0, -3, -1, 3		-1	0	0	7	0.0	0.0	0.875	0.0
16	16	0	0	3/4	3	1	ii				Ab	I		ii	ii							m	0	0	-2, -5, -1		-2	-2	0	28	0.0	0.0	3.2916666666666665	0.0
16	16	5/8	5/8	3/4	3	1	iv				Ab	I		iv	iv							m	0	0	-5, -8, -4		-5	-5	0	28	0.0	0.0	3.2916666666666665	0.0
