mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	2/4	3	1	A.V{				A	I		V		V						{	M	0	0	4, 8, 5		4	4	0	1	0.0	0.0	0.125	0.0
2	1	0	0	2/4	3	1	I				A	I		I		I							M	0	0	3, 7, 4		3	3	0	4	0.0	0.0	1.0	0.0
2	1	1/4	1/4	2/4	3	1	V6				A	I		V6		V		6					M	0	0	8, 5, 4		4	8	0	4	0.0	0.0	1.0	0.0
3	2	0	0	2/4	3	1	V43				A	I		V43		V		43					Mm7	0	0	5, 2, 4, 8		4	5	0	5	0.0	0.0	0.625	0.0
3	2	1/8	1/8	2/4	3	1	I				A	I		I		I							M	0	0	3, 7, 4		3	3	0	7	0.0	0.0	0.875	0.0
4	3	0	0	2/4	3	1	IV				A	I		IV		IV							M	0	0	2, 6, 3		2	2	0	5	0.0	0.0	1.875	0.0
4	3	3/8	3/8	2/4	3	1	I6				A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	10	0.0	0.0	2.5	0.0
5	4	3/8	3/8	2/4	3	1	V				A	I		V		V							M	0	0	4, 8, 5		4	4	0	1	0.0	0.0	0.125	0.0
6	5	0	0	2/4	3	1	I6				A	I		I6		I		6					M	0	0	7, 4, 3		3	7	1	1	0.5	0.125	0.125	0.5
6	5	1/4	1/4	2/4	3	1	ii64/V				A	I		ii64/V		ii		64		V			m	0	0	7, 6, 3		6	7	0	3	0.0	0.0	0.375	0.0
7	6	1/8	1/8	2/4	3	1	V7/V				A	I		V7/V		V		7		V			Mm7	0	0	5, 9, 6, 3		5	5	0	4	0.0	0.0	0.5	0.0
7	6	1/4	1/4	2/4	3	1	V}{				A	I		V		V						}{	M	0	0	4, 8, 5		4	4	0	6	0.0	0.0	0.75	0.0
8	7	0	0	2/4	3	1	I6				A	I		I6		I		6					M	0	0	7, 4, 3		3	7	2	2	0.5	0.25	0.25	0.5
8	7	1/4	1/4	2/4	3	1	ii64/V				A	I		ii64/V		ii		64		V			m	0	0	7, 6, 3		6	7	0	6	0.0	0.0	0.6875	0.0
9	8	1/8	1/8	2/4	3	1	V7/V				A	I		V7/V		V		7		V			Mm7	0	0	5, 9, 6, 3		5	5	0	6	0.0	0.0	0.625	0.0
9	8	1/4	1/4	2/4	3	1	V|HC}				A	I		V		V					HC	}	M	0	0	4, 8, 5		4	4	0	6	0.0	0.0	0.75	0.0
10	9	0	0	2/4	3	1	V2				A	I		V2		V		2					Mm7	0	0	2, 4, 8, 5		4	2	0	6	0.0	0.0	2.0	0.0
11	10	0	0	2/4	3	1	I6(9)				A	I		I6(9)		I		6	9				M	0	0	7, 4, 3	5	3	7	0	1	0.0	0.0	0.125	0.0
11	10	1/8	1/8	2/4	3	1	I6				A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	6	0.0	0.0	0.75	0.0
12	11	0	0	2/4	3	1	#viio43/vi	0	-10	/	A	I		#viio43/vi		#vii	o	43		vi			o7	0	0	5, 2, 11, 8		11	5	1	5	0.16666666666666666	0.125	2.375	0.05
13	12	0	0	2/4	3	1	vi6				A	I		vi6		vi		6					m	0	0	3, 7, 6		6	3	0	5	0.0	0.0	1.125	0.0
14	13	0	0	2/4	3	1	IV				A	I		IV		IV							M	0	0	2, 6, 3		2	2	0	5	0.0	0.0	1.875	0.0
14	13	3/8	3/8	2/4	3	1	I6				A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	5	0.0	0.0	0.625	0.0
15	14	0	0	2/4	3	1	viio2(2)/V				A	I		viio2(2)/V		vii	o	2	2	V			o7	0	0	0, 4, 6, 3		9	0	0	5	0.0	0.0	2.0	0.0
15	14	1/4	1/4	2/4	3	1	viio2/V				A	I		viio2/V		vii	o	2		V			o7	0	0	0, 9, 6, 3		9	0	0	3	0.0	0.0	0.5	0.0
16	15	0	0	2/4	3	1	V7/V				A	I		V7/V		V		7		V			Mm7	0	0	5, 9, 6, 3		5	5	1	9	0.1	0.125	2.875	0.041666666666666664
17	16	0	0	2/4	3	1	#viio7/vi				A	I		#viio7/vi		#vii	o	7		vi			o7	0	0	11, 8, 5, 2		11	11	0	5	0.0	0.0	1.875	0.0
17	16	3/8	3/8	2/4	3	1	V2/ii				A	I		V2/ii		V		2		ii			Mm7	0	0	4, 6, 10, 7		6	4	0	5	0.0	0.0	0.625	0.0
18	17	0	0	2/4	3	1	i6/ii				A	I		i6/ii		i		6		ii			m	0	0	2, 6, 5		5	2	0	5	0.0	0.0	1.25	0.0
18	17	1/4	1/4	2/4	3	1	V43/ii	0	-9	/	A	I		V43/ii		V		43		ii			Mm7	0	0	7, 4, 6, 10		6	7	0	6	0.0	0.0	1.5	0.0
19	18	0	0	2/4	3	1	i(11)/ii				A	I		i(11)/ii		i			11	ii			m	0	0	5, 2, 6	4	5	5	0	6	0.0	0.0	1.5	0.0
19	18	1/4	1/4	2/4	3	1	i/ii				A	I		i/ii		i				ii			m	0	0	5, 2, 6		5	5	0	1	0.0	0.0	0.125	0.0
19	18	3/8	3/8	2/4	3	1	viio2/V	0	-9	/	A	I		viio2/V		vii	o	2		V			o7	0	0	0, 9, 6, 3		9	0	0	5	0.0	0.0	0.625	0.0
20	19	0	0	2/4	3	1	ii7				A	I		ii7		ii		7					mm7	0	0	5, 2, 6, 3		5	5	0	12	0.0	0.0	3.375	0.0
21	20	1/4	1/4	2/4	3	1	V7(9)				A	I		V7(9)		V		7	9				Mm7	0	0	4, 8, 5, 2	6	4	4	0	4	0.0	0.0	1.0	0.0
21	20	3/8	3/8	2/4	3	1	V7				A	I		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	1	0.0	0.0	0.125	0.0
22	21	0	0	2/4	3	1	I|PAC}{				A	I		I		I					PAC	}{	M	0	0	3, 7, 4		3	3	0	5	0.0	0.0	0.75	0.0
22	21	1/4	1/4	2/4	3	1	I6				A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	1	0.0	0.0	0.125	0.0
22	21	3/8	3/8	2/4	3	1	V				A	I		V		V							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
23	22	0	0	2/4	3	1	I6				A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
23	22	1/8	1/8	2/4	3	1	#viio6/vi				A	I		#viio6/vi		#vii	o	6		vi			o	0	0	8, 5, 11		11	8	0	3	0.0	0.0	0.375	0.0
23	22	1/4	1/4	2/4	3	1	vi6				A	I		vi6		vi		6					m	0	0	3, 7, 6		6	3	0	3	0.0	0.0	0.375	0.0
23	22	3/8	3/8	2/4	3	1	#viio43/ii	0	-9	/	A	I		#viio43/ii		#vii	o	43		ii			o7	0	0	4, 1, 10, 7		10	4	0	4	0.0	0.0	0.5	0.0
24	23	0	0	2/4	3	1	ii6				A	I		ii6		ii		6					m	0	0	2, 6, 5		5	2	0	4	0.0	0.0	0.5	0.0
24	23	1/4	1/4	2/4	3	1	V7				A	I		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.5	0.0
25	24	0	0	2/4	3	1	I|PAC}				A	I		I		I					PAC	}	M	0	0	3, 7, 4		3	3	0	4	0.0	0.0	0.5	0.0
25	24	3/8	3/8	2/4	3	1	V{				A	I		V		V						{	M	0	0	4, 8, 5		4	4	0	1	0.0	0.0	0.125	0.0
26	25	0	0	2/4	3	1	I				A	I		I		I							M	0	0	3, 7, 4		3	3	0	4	0.0	0.0	1.0	0.0
26	25	1/4	1/4	2/4	3	1	V6				A	I		V6		V		6					M	0	0	8, 5, 4		4	8	0	4	0.0	0.0	1.0	0.0
27	26	0	0	2/4	3	1	V43				A	I		V43		V		43					Mm7	0	0	5, 2, 4, 8		4	5	0	5	0.0	0.0	0.625	0.0
27	26	1/8	1/8	2/4	3	1	I				A	I		I		I							M	0	0	3, 7, 4		3	3	0	6	0.0	0.0	0.75	0.0
28	27	0	0	2/4	3	1	iv				A	I		iv		iv							m	0	0	2, -1, 3		2	2	0	5	0.0	0.0	1.875	0.0
28	27	3/8	3/8	2/4	3	1	i6				A	I		i6		i		6					m	0	0	0, 4, 3		3	0	0	10	0.0	0.0	2.375	0.0
29	28	3/8	3/8	2/4	3	1	V				A	I		V		V							M	0	0	4, 8, 5		4	4	0	1	0.0	0.0	0.125	0.0
30	29	0	0	2/4	3	1	i6				A	I		i6		i		6					m	0	0	0, 4, 3		3	0	2	1	0.6666666666666666	0.25	0.125	0.6666666666666666
30	29	1/4	1/4	2/4	3	1	bII/V				A	I		bII/V		bII				V			M	0	0	-1, 3, 0		-1	-1	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
31	30	1/8	1/8	2/4	3	1	V7/V				A	I		V7/V		V		7		V			Mm7	0	0	5, 9, 6, 3		5	5	0	5	0.0	0.0	0.625	0.0
31	30	1/4	1/4	2/4	3	1	V}{				A	I		V		V						}{	M	0	0	4, 8, 5		4	4	0	7	0.0	0.0	0.875	0.0
32	31	0	0	2/4	3	1	i6				A	I		i6		i		6					m	0	0	0, 4, 3		3	0	0	1	0.0	0.0	0.125	0.0
32	31	1/8	1/8	2/4	3	1	V				A	I		V		V							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
32	31	1/4	1/4	2/4	3	1	i6				A	I		i6		i		6					m	0	0	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
32	31	3/8	3/8	2/4	3	1	bII6/V	0	-9	/	A	I		bII6/V		bII		6		V			M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	0.5	0.0
33	32	0	0	2/4	3	1	V6				A	I		V6		V		6					M	0	0	8, 5, 4		4	8	0	4	0.0	0.0	0.5	0.0
33	32	1/8	1/8	2/4	3	1	It6				A	I		It6	It	vii	o	6	b3	V			It	0	0	-1, 3, 9		9	-1	0	4	0.0	0.0	0.5	0.0
33	32	1/4	1/4	2/4	3	1	V|HC}				A	I		V		V					HC	}	M	0	0	4, 8, 5		4	4	0	5	0.0	0.0	0.625	0.0
34	33	0	0	2/4	3	1	V2				A	I		V2		V		2					Mm7	0	0	2, 4, 8, 5		4	2	0	7	0.0	0.0	2.375	0.0
35	34	0	0	2/4	3	1	I6(9)				A	I		I6(9)		I		6	9				M	0	0	7, 4, 3	5	3	7	0	1	0.0	0.0	0.125	0.0
35	34	1/8	1/8	2/4	3	1	I6				A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	6	0.0	0.0	0.75	0.0
36	35	0	0	2/4	3	1	#viio43/vi	-1	-6	/	A	I		#viio43/vi		#vii	o	43		vi			o7	0	0	5, 2, 11, 8		11	5	1	5	0.16666666666666666	0.125	2.375	0.05
37	36	0	0	2/4	3	1	vi6				A	I		vi6		vi		6					m	0	0	3, 7, 6		6	3	0	6	0.0	0.0	1.25	0.0
38	37	0	0	2/4	3	1	IV				A	I		IV		IV							M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	1.5	0.0
38	37	3/8	3/8	2/4	3	1	I6				A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	5	0.0	0.0	0.625	0.0
39	38	0	0	2/4	3	1	viio2(2)/V				A	I		viio2(2)/V		vii	o	2	2	V			o7	0	0	0, 4, 6, 3		9	0	0	5	0.0	0.0	2.0	0.0
39	38	1/4	1/4	2/4	3	1	viio2/V	0	-9	/	A	I		viio2/V		vii	o	2		V			o7	0	0	0, 9, 6, 3		9	0	0	3	0.0	0.0	0.5	0.0
40	39	0	0	2/4	3	1	V7/V				A	I		V7/V		V		7		V			Mm7	0	0	5, 9, 6, 3		5	5	1	9	0.1	0.125	2.875	0.041666666666666664
41	40	0	0	2/4	3	1	#viio7/vi				A	I		#viio7/vi		#vii	o	7		vi			o7	0	0	11, 8, 5, 2		11	11	0	5	0.0	0.0	1.875	0.0
41	40	3/8	3/8	2/4	3	1	V2/ii				A	I		V2/ii		V		2		ii			Mm7	0	0	4, 6, 10, 7		6	4	0	5	0.0	0.0	0.625	0.0
42	41	0	0	2/4	3	1	i6/ii				A	I		i6/ii		i		6		ii			m	0	0	2, 6, 5		5	2	0	5	0.0	0.0	1.25	0.0
42	41	1/4	1/4	2/4	3	1	V43/ii	0	-9	/	A	I		V43/ii		V		43		ii			Mm7	0	0	7, 4, 6, 10		6	7	0	6	0.0	0.0	1.5	0.0
43	42	0	0	2/4	3	1	i/ii				A	I		i/ii		i				ii			m	0	0	5, 2, 6		5	5	0	7	0.0	0.0	1.5	0.0
43	42	1/4	1/4	2/4	3	1	viio2/V	-1	-6	/	A	I		viio2/V		vii	o	2		V			o7	0	0	0, 9, 6, 3		9	0	0	6	0.0	0.0	1.25	0.0
44	43	0	0	2/4	3	1	ii7				A	I		ii7		ii		7					mm7	0	0	5, 2, 6, 3		5	5	0	12	0.0	0.0	3.375	0.0
45	44	1/4	1/4	2/4	3	1	V7(9)				A	I		V7(9)		V		7	9				Mm7	0	0	4, 8, 5, 2	6	4	4	0	4	0.0	0.0	1.0	0.0
45	44	3/8	3/8	2/4	3	1	V7				A	I		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	1	0.0	0.0	0.125	0.0
46	45	0	0	2/4	3	1	I(9)				A	I		I(9)		I			9				M	0	0	3, 7, 4	5	3	3	0	4	0.0	0.0	0.5	0.0
46	45	1/8	1/8	2/4	3	1	I|PAC}{				A	I		I		I					PAC	}{	M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
46	45	1/4	1/4	2/4	3	1	I6				A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	1	0.0	0.0	0.125	0.0
46	45	3/8	3/8	2/4	3	1	V				A	I		V		V							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
47	46	0	0	2/4	3	1	I6				A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
