mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	7/8	4/4	3	1	Eb.I6{		Eb	I		I6	I		6				{	M	0	0	1, -2, -3		-3	1	0	1	0.0	0.0	0.125	0.0
2	1	0	0	4/4	3	1	I[I		Eb	I	I	I	I							M	0	0	-3, 1, -2		-3	-3	8	38	0.17391304347826086	0.9583333333333334	4.125	0.18852459016393444
3	2	0	0	4/4	3	1	IV6		Eb	I	I	IV6	IV		6					M	0	0	0, -3, -4		-4	0	0	9	0.0	0.0	1.25	0.0
3	2	1/4	1/4	4/4	3	1	vii%7		Eb	I	I	vii%7	vii	%	7					%7	0	0	2, -1, -4, 0		2	2	3	6	0.3333333333333333	0.25	1.0	0.2
3	2	1/2	1/2	4/4	3	1	I]		Eb	I	I	I	I							M	0	0	-3, 1, -2		-3	-3	0	9	0.0	0.0	1.5	0.0
3	2	3/4	3/4	4/4	3	1	IM2		Eb	I		IM2	I	M	2					MM7	0	0	2, -3, 1, -2		-3	2	0	11	0.0	0.0	1.0	0.0
4	3	0	0	4/4	3	1	vi		Eb	I		vi	vi							m	0	0	0, -3, 1		0	0	0	22	0.0	0.0	2.5	0.0
4	3	1/2	1/2	4/4	3	1	IM43		Eb	I		IM43	I	M	43					MM7	0	0	-2, 2, -3, 1		-3	-2	0	11	0.0	0.0	1.25	0.0
4	3	3/4	3/4	4/4	3	1	IV		Eb	I		IV	IV							M	0	0	-4, 0, -3		-4	-4	0	11	0.0	0.0	1.25	0.0
5	4	0	0	4/4	3	1	I6		Eb	I		I6	I		6					M	0	0	1, -2, -3		-3	1	0	20	0.0	0.0	3.0	0.0
5	4	1/2	1/2	4/4	3	1	V43		Eb	I		V43	V		43					Mm7	0	0	-1, -4, -2, 2		-2	-1	0	9	0.0	0.0	0.75	0.0
5	4	3/4	3/4	4/4	3	1	vi65		Eb	I		vi65	vi		65					mm7	0	0	-3, 1, -2, 0		0	-3	0	11	0.0	0.0	1.25	0.0
6	5	0	0	4/4	3	1	V		Eb	I		V	V							M	0	0	-2, 2, -1		-2	-2	0	8	0.0	0.0	0.9583333333333334	0.0
6	5	1/4	1/4	4/4	3	1	V6		Eb	I		V6	V		6					M	0	0	2, -1, -2		-2	2	0	10	0.0	0.0	0.875	0.0
6	5	1/2	1/2	4/4	3	1	I		Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	0	8	0.0	0.0	1.0	0.0
6	5	3/4	3/4	4/4	3	1	#viio7/ii		Eb	I		#viio7/ii	#vii	o	7		ii			o7	0	0	4, 1, -2, -5		4	4	0	11	0.0	0.0	1.25	0.0
7	6	0	0	4/4	3	1	V[ii		Eb	I	V	ii	ii							m	0	0	-1, -4, 0		-1	-1	2	6	0.25	1.0833333333333333	0.75	0.5909090909090909
7	6	1/4	1/4	4/4	3	1	V2/ii		Eb	I	V	V2/ii	V		2		ii			Mm7	0	0	-2, 0, 4, 1		0	-2	0	8	0.0	0.0	1.0	0.0
7	6	1/2	1/2	4/4	3	1	ii6		Eb	I	V	ii6	ii		6					m	0	0	-4, 0, -1		-1	-4	0	8	0.0	0.0	1.0	0.0
7	6	3/4	3/4	4/4	3	1	#viio7/iii		Eb	I	V	#viio7/iii	#vii	o	7		iii			o7	0	0	6, 3, 0, -3		6	6	0	11	0.0	0.0	1.25	0.0
8	7	0	0	4/4	3	1	I6		Eb	I	V	I6	I		6					M	0	0	1, -2, -3		-3	1	0	22	0.0	0.0	3.25	0.0
8	7	1/2	1/2	4/4	3	1	IV		Eb	I	V	IV	IV							M	0	0	-4, 0, -3		-4	-4	0	11	0.0	0.0	1.25	0.0
8	7	3/4	3/4	4/4	3	1	viio7/V		Eb	I	V	viio7/V	vii	o	7		V			o7	0	0	3, 0, -3, -6		3	3	0	11	0.0	0.0	1.25	0.0
9	8	0	0	4/4	3	1	V]|HC}{		Eb	I	V	V	V					HC	}{	M	0	0	-2, 2, -1		-2	-2	0	11	0.0	0.0	1.3333333333333333	0.0
9	8	1/3	1/3	4/4	3	1	V2(9)		Eb	I		V2(9)	V		2	9				Mm7	0	0	-4, -2, 2, -1	0	-2	-4	0	14	0.0	0.0	1.1666666666666667	0.0
