mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	3/4	3	1	Ab.I{					Ab	I		I		I						{	M	0	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.375	0.0
1	0	1/8	1/2	3/4	3	1	viio6					Ab	I		viio6		vii	o	6					o	0	0	-2, -5, 1		1	-2	0	3	0.0	0.0	0.375	0.0
1	0	1/4	5/8	3/4	3	1	viio/IV	0	-9	/		Ab	I		viio/IV		vii	o			IV			o	0	0	0, -3, -6		0	0	0	4	0.0	0.0	0.5	0.0
2	1	0	0	3/4	3	1	I[IV64				vi6	Ab	I	I	IV64		IV		64					M	0	0	-4, -5, -1		-5	-4	2	5	0.2857142857142857	0.25	2.375	0.09523809523809523
2	1	1/4	1/4	3/4	3	1	viio64/V					Ab	I	I	viio64/V		vii	o	64		V			o	0	0	-4, 2, -1		2	-4	0	2	0.0	0.0	0.25	0.0
2	1	3/8	3/8	3/4	3	1	viio43					Ab	I	I	viio43		vii	o	43					o7	0	0	-5, -8, 1, -2		1	-5	2	6	0.25	0.25	0.75	0.25
2	1	5/8	5/8	3/4	3	1	viio65					Ab	I	I	viio65		vii	o	65					o7	0	0	-2, -5, -8, 1		1	-2	2	8	0.2	0.5	1.5	0.25
3	2	1/4	1/4	3/4	3	1	I]					Ab	I	I	I		I							M	0	0	-4, 0, -3		-4	-4	0	8	0.0	0.0	1.0	0.0
3	2	1/2	1/2	3/4	3	1	vi7					Ab	I		vi7		vi		7					mm7	0	0	-1, -4, 0, -3		-1	-1	0	4	0.0	0.0	0.5	0.0
3	2	5/8	5/8	3/4	3	1	V6					Ab	I		V6		V		6					M	0	0	1, -2, -3		-3	1	0	4	0.0	0.0	0.5	0.0
4	3	0	0	3/4	3	1	vi6					Ab	I		vi6		vi		6					m	0	0	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.5	0.0
4	3	1/8	1/8	3/4	3	1	viio2/V					Ab	I		viio2/V		vii	o	2		V			o7	0	0	-7, 2, -1, -4		2	-7	0	6	0.0	0.0	0.625	0.0
4	3	1/4	1/4	3/4	3	1	V(9#7b64)					Ab	I		V(9#7b64)		V			9#7b64				M	0	0	-3, -4, -7	-1, 2	-3	-3	0	18	0.0	0.0	4.625	0.0
5	4	1/4	1/4	3/4	3	1	V|HC}					Ab	I		V		V					HC	}	M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	0.625	0.0
5	4	3/8	3/8	3/4	3	1	I{					Ab	I		I		I						{	M	0	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.375	0.0
5	4	1/2	1/2	3/4	3	1	viio6					Ab	I		viio6		vii	o	6					o	0	0	-2, -5, 1		1	-2	0	3	0.0	0.0	0.375	0.0
5	4	5/8	5/8	3/4	3	1	viio/IV	0	-9	/		Ab	I		viio/IV		vii	o			IV			o	0	0	0, -3, -6		0	0	1	3	0.25	0.125	0.375	0.25
6	5	0	0	3/4	3	1	I[IV64				vi6	Ab	I	I	IV64		IV		64					M	0	0	-4, -5, -1		-5	-4	2	5	0.2857142857142857	0.25	2.375	0.09523809523809523
6	5	1/4	1/4	3/4	3	1	viio64/V					Ab	I	I	viio64/V		vii	o	64		V			o	0	0	-4, 2, -1		2	-4	0	2	0.0	0.0	0.25	0.0
6	5	3/8	3/8	3/4	3	1	viio43					Ab	I	I	viio43		vii	o	43					o7	0	0	-5, -8, 1, -2		1	-5	2	6	0.25	0.25	0.75	0.25
6	5	5/8	5/8	3/4	3	1	viio65					Ab	I	I	viio65		vii	o	65					o7	0	0	-2, -5, -8, 1		1	-2	2	8	0.2	0.75	1.5	0.3333333333333333
7	6	1/4	1/4	3/4	3	1	I]					Ab	I	I	I		I							M	0	0	-4, 0, -3		-4	-4	0	8	0.0	0.0	1.0	0.0
7	6	1/2	1/2	3/4	3	1	V6					Ab	I		V6		V		6					M	0	0	1, -2, -3		-3	1	0	4	0.0	0.0	0.5	0.0
7	6	5/8	5/8	3/4	3	1	IV6/V	0	-9	/		Ab	I		IV6/V		IV		6		V			M	0	0	0, -3, -4		-4	0	0	4	0.0	0.0	0.5	0.0
8	7	0	0	3/4	3	1	V(64)/V					Ab	I		V(64)/V		V			64	V			M	0	0	-2, -3, 1		-2	-2	0	6	0.0	0.0	1.0	0.0
8	7	1/4	1/4	3/4	3	1	V7(94)/V					Ab	I		V7(94)/V		V		7	94	V			Mm7	0	0	-2, -3, -1, -4	0	-2	-2	0	6	0.0	0.0	1.625	0.0
8	7	1/2	1/2	3/4	3	1	V7/V					Ab	I		V7/V		V		7		V			Mm7	0	0	-2, 2, -1, -4		-2	-2	0	6	0.0	0.0	1.375	0.0
9	8	0	0	3/4	3	1	V|HC}{					Ab	I		V		V					HC	}{	M	0	0	-3, 1, -2		-3	-3	2	9	0.18181818181818182	0.25	2.125	0.10526315789473684
9	8	1/2	1/2	3/4	3	1	V7					Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	0	4	0.0	0.0	0.5	0.0
9	8	5/8	5/8	3/4	3	1	V(964)	0	-9	/		Ab	I		V(964)		V			964				M	0	0	-3, -4, 0	-1	-3	-3	0	5	0.0	0.0	0.625	0.0
10	9	0	0	3/4	3	1	V7					Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	0	6	0.0	0.0	0.75	0.0
10	9	1/8	1/8	3/4	3	1	V(64)					Ab	I		V(64)		V			64				M	0	0	-3, -4, 0		-3	-3	0	6	0.0	0.0	0.75	0.0
10	9	1/4	1/4	3/4	3	1	V7					Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	0	6	0.0	0.0	1.5	0.0
10	9	1/2	1/2	3/4	3	1	V(9#7b64)	0	-9	/		Ab	I		V(9#7b64)		V			9#7b64				M	0	0	-3, -4, -7	-1, 2	-3	-3	0	6	0.0	0.0	1.5	0.0
11	10	0	0	3/4	3	1	V					Ab	I		V		V							M	0	0	-3, 1, -2		-3	-3	2	9	0.18181818181818182	0.25	1.625	0.13333333333333333
11	10	1/2	1/2	3/4	3	1	V7					Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	0	4	0.0	0.0	0.5	0.0
11	10	5/8	5/8	3/4	3	1	V(964)	0	-9	/		Ab	I		V(964)		V			964				M	0	0	-3, -4, 0	-1	-3	-3	0	5	0.0	0.0	0.625	0.0
12	11	0	0	3/4	3	1	V7					Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	0	6	0.0	0.0	0.75	0.0
12	11	1/8	1/8	3/4	3	1	V(64)					Ab	I		V(64)		V			64				M	0	0	-3, -4, 0		-3	-3	0	6	0.0	0.0	0.75	0.0
12	11	1/4	1/4	3/4	3	1	V7					Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	0	6	0.0	0.0	0.75	0.0
12	11	3/8	3/8	3/4	3	1	V(9#7b64)					Ab	I		V(9#7b64)		V			9#7b64				M	0	0	-3, -4, -7	-1, 2	-3	-3	0	22	0.0	0.0	3.5	0.0
13	12	1/4	1/4	3/4	3	1	V}					Ab	I		V		V						}	M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	0.625	0.0
13	12	3/8	3/8	3/4	3	1	IV6{					Ab	I		IV6		IV		6				{	M	0	0	-1, -4, -5		-5	-1	0	5	0.0	0.0	0.625	0.0
13	12	1/2	1/2	3/4	3	1	V(64)/iii					Ab	I		V(64)/iii		V			64	iii			M	0	0	1, 0, -3		1	1	0	5	0.0	0.0	0.625	0.0
13	12	5/8	5/8	3/4	3	1	V7/iii	0	-9	/		Ab	I		V7/iii		V		7		iii			Mm7	0	0	1, 5, 2, -1		1	1	0	5	0.0	0.0	0.625	0.0
14	13	0	0	3/4	3	1	iii(9#74)					Ab	I		iii(9#74)		iii			9#74				m	0	0	0, -1, 1	-5, 5	0	0	1	6	0.14285714285714285	0.125	1.125	0.1
14	13	1/4	1/4	3/4	3	1	iii					Ab	I		iii		iii							m	0	0	0, -3, 1		0	0	0	5	0.0	0.0	0.625	0.0
14	13	3/8	3/8	3/4	3	1	iv/ii					Ab	I		iv/ii		iv				ii			m	0	0	-3, -6, -2		-3	-3	1	4	0.2	0.125	0.5	0.2
14	13	1/2	1/2	3/4	3	1	V(64)/ii					Ab	I		V(64)/ii		V			64	ii			M	0	0	-1, -2, -5		-1	-1	1	4	0.2	0.125	0.5	0.2
14	13	5/8	5/8	3/4	3	1	V7/ii	0	-9	/		Ab	I		V7/ii		V		7		ii			Mm7	0	0	-1, 3, 0, -3		-1	-1	0	5	0.0	0.0	0.625	0.0
15	14	0	0	3/4	3	1	ii(9#74)					Ab	I		ii(9#74)		ii			9#74				m	0	0	-2, -3, -1	0, 3	-2	-2	0	7	0.0	0.0	1.25	0.0
15	14	1/4	1/4	3/4	3	1	ii					Ab	I		ii		ii							m	0	0	-2, -5, -1		-2	-2	0	15	0.0	0.0	1.875	0.0
15	14	5/8	5/8	3/4	3	1	vi64					Ab	I		vi64		vi		64					m	0	0	0, -1, -4		-1	0	0	5	0.0	0.0	0.625	0.0
16	15	0	0	3/4	3	1	ii65					Ab	I		ii65		ii		65					mm7	0	0	-5, -1, -4, -2		-2	-5	0	8	0.0	0.0	1.25	0.0
16	15	1/4	1/4	3/4	3	1	vii%43					Ab	I		vii%43		vii	%	43					%7	0	0	-5, -1, 1, -2		1	-5	0	8	0.0	0.0	1.375	0.0
16	15	1/2	1/2	3/4	3	1	Fr6/vi					Ab	I		Fr6/vi	Fr	V		43	b5	V/vi			Fr	0	0	-5, -1, 1, 5		1	-5	0	9	0.0	0.0	1.125	0.0
17	16	0	0	3/4	3	1	V(#764)/vi					Ab	I		V(#764)/vi		V			#764	vi			M	0	0	0, -1, -4	5	0	0	0	8	0.0	0.0	1.25	0.0
17	16	1/4	1/4	3/4	3	1	V/vi|HC}					Ab	I		V/vi		V				vi	HC	}	M	0	0	0, 4, 1		0	0	0	8	0.0	0.0	1.125	0.0
