mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	6/8	3	1	Db.I{				Db	I		I	I						{	M	0	0	-5, -1, -4		-5	-5	0	2	0.0	0.0	0.25	0.0
1	1	1/4	1/4	6/8	3	1	I64				Db	I		I64	I		64					M	0	0	-4, -5, -1		-5	-4	0	4	0.0	0.0	0.5	0.0
1	1	3/8	3/8	6/8	3	1	IV6(+2)				Db	I		IV6(+2)	IV		6	+2				M	0	0	-2, -5, -6	-4	-6	-2	0	8	0.0	0.0	1.0	0.0
1	1	5/8	5/8	6/8	3	1	I64				Db	I		I64	I		64					M	0	0	-4, -5, -1		-5	-4	0	5	0.0	0.0	0.625	0.0
2	2	0	0	6/8	3	1	V2				Db	I		V2	V		2					Mm7	0	0	-6, -4, 0, -3		-4	-6	0	9	0.0	0.0	1.25	0.0
2	2	1/4	1/4	6/8	3	1	I6				Db	I		I6	I		6					M	0	0	-1, -4, -5		-5	-1	0	5	0.0	0.0	0.625	0.0
2	2	3/8	3/8	6/8	3	1	V7				Db	I		V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	0	6	0.0	0.0	0.875	0.0
2	2	1/2	1/2	6/8	3	1	V(964)				Db	I		V(964)	V			964				M	0	0	-4, -5, -1	-2	-4	-4	0	5	0.0	0.0	0.625	0.0
2	2	5/8	5/8	6/8	3	1	V7				Db	I		V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	0	6	0.0	0.0	0.75	0.0
3	3	0	0	6/8	3	1	I(4)				Db	I		I(4)	I			4				M	0	0	-5, -6, -4		-5	-5	0	3	0.0	0.0	0.5	0.0
3	3	1/4	1/4	6/8	3	1	I64				Db	I		I64	I		64					M	0	0	-4, -5, -1		-5	-4	0	5	0.0	0.0	0.625	0.0
3	3	3/8	3/8	6/8	3	1	IV6(+2)				Db	I		IV6(+2)	IV		6	+2				M	0	0	-2, -5, -6	-4	-6	-2	0	8	0.0	0.0	1.0	0.0
3	3	5/8	5/8	6/8	3	1	I64				Db	I		I64	I		64					M	0	0	-4, -5, -1		-5	-4	0	5	0.0	0.0	0.625	0.0
