mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	2/4	3	1	a.i6{					a	i		i6	i		6				{	m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
2	1	0	0	2/4	3	1	i					a	i		i	i							m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	0.375	0.0
2	1	3/16	3/16	2/4	3	1	V					a	i		V	V							M	1	1	4, 8, 5		4	4	0	2	0.0	0.0	0.125	0.0
2	1	1/4	1/4	2/4	3	1	i6					a	i		i6	i		6					m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
2	1	3/8	3/8	2/4	3	1	iv					a	i		iv	iv							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.25	0.0
3	2	0	0	2/4	3	1	i6					a	i		i6	i		6					m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
3	2	1/8	1/8	2/4	3	1	ii%43					a	i		ii%43	ii	%	43					%7	1	1	-1, 3, 5, 2		5	-1	0	4	0.0	0.0	0.5	0.0
3	2	1/4	1/4	2/4	3	1	V|HC}					a	i		V	V					HC	}	M	1	1	4, 8, 5		4	4	0	4	0.0	0.0	0.5	0.0
3	2	3/8	3/8	2/4	3	1	i6{					a	i		i6	i		6				{	m	1	1	0, 4, 3		3	0	0	3	0.0	0.0	0.375	0.0
4	3	0	0	2/4	3	1	i					a	i		i	i							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.375	0.0
4	3	1/8	1/8	2/4	3	1	v6					a	i		v6	v		6					m	1	1	1, 5, 4		4	1	0	3	0.0	0.0	0.375	0.0
4	3	1/4	1/4	2/4	3	1	iv6					a	i		iv6	iv		6					m	1	1	-1, 3, 2		2	-1	0	7	0.0	0.0	0.875	0.0
