mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/8	3	1	1/8	1/8	1		-5	49	5
1	1	0	0	3/8	2	2	1/16	1/16	1		-1	77	2
1	1	0	0	3/8	2	1	3/16	1/8	3/2		-1	77	0
1	1	1/16	1/16	3/8	2	2	1/16	1/16	1		-4	68	3
1	1	1/8	1/8	3/8	2	2	1/16	1/16	1		-1	65	4
1	1	3/16	3/16	3/8	3	1	1/16	1/16	1		-4	68	6
1	1	3/16	3/16	3/8	2	1	3/16	1/8	3/2		-5	73	1
1	1	1/4	1/4	3/8	3	1	1/16	1/16	1		-1	65	7
1	1	5/16	5/16	3/8	3	1	1/16	1/16	1		-4	56	8
2	2	0	0	3/8	2	2	1/16	1/16	1		3	69	11
2	2	0	0	3/8	2	1	1/4	1/4	1		3	69	9
2	2	1/16	1/16	3/8	2	2	1/16	1/16	1		-8	64	12
2	2	1/8	1/8	3/8	2	2	1/16	1/16	1		-5	61	13
2	2	3/16	3/16	3/8	3	1	1/16	1/16	1		-8	64	14
2	2	1/4	1/4	3/8	3	1	1/16	1/16	1		-5	61	15
2	2	1/4	1/4	3/8	2	1	1/8	1/8	1		-2	70	10
2	2	5/16	5/16	3/8	3	1	1/16	1/16	1		1	55	16
3	3	0	0	3/8	3	1	1/8	1/8	1		0	48	22
3	3	0	0	3/8	2	2	1/16	1/16	1		-3	75	19
3	3	0	0	3/8	2	1	3/16	1/8	3/2		-3	75	17
3	3	1/16	1/16	3/8	2	2	1/16	1/16	1		-4	68	20
3	3	1/8	1/8	3/8	2	2	1/16	1/16	1		-3	63	21
3	3	3/16	3/16	3/8	3	1	1/16	1/16	1		-3	63	23
3	3	3/16	3/16	3/8	2	1	3/16	1/8	3/2		0	72	18
3	3	1/4	1/4	3/8	3	1	1/16	1/16	1		-4	56	24
3	3	5/16	5/16	3/8	3	1	1/16	1/16	1		-3	51	25
4	4	0	0	3/8	3	1	1/8	1/8	1		-7	47	31
4	4	0	0	3/8	2	2	1/16	1/16	1		1	67	28
4	4	0	0	3/8	2	1	1/4	1/4	1		1	67	26
4	4	1/16	1/16	3/8	2	2	1/16	1/16	1		2	62	29
