mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	3.0	0	0	3/4	3	1	3/4		1/2	3/2	1	-3	51	Eb3	3	2
1	1	0	0	3.0	0	0	3/4	3	1	3/4		1/2	3/2		-4	56	Ab3	3	2
1	1	0	0	3.0	0	0	3/4	2	2	3/4		1/2	3/2	1	-5	61	Db4	4	1
1	1	0	0	3.0	0	0	3/4	2	2	3/4		1/2	3/2		-1	65	F4	4	1
1	1	2	2	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1	1	-2	70	Bb4	4	0
2	2	3	3	3.0	0	0	3/4	3	1	3/4		1/2	3/2	-1	-3	51	Eb3	3	5
2	2	3	3	3.0	0	0	3/4	3	1	3/4		1/2	3/2		1	55	G3	3	5
2	2	3	3	3.0	0	0	3/4	2	1	3/4		1/2	3/2	-1	-5	61	Db4	4	4
2	2	3	3	3.0	0	0	3/4	2	1	3/4		1/2	3/2		-3	63	Eb4	4	4
2	2	3	3	3.0	0	0	3/4	2	1	3/4		1/2	3/2	-1	-2	70	Bb4	4	4
2	2	11/2	11/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-3	63	Eb4	4	3
3	3	6	6	0.3333333333333333	0	0	3/4	3	1	1/12		1/8	2/3		-4	44	Ab2	2	16
3	3	6	6	1.5	0	0	3/4	1	1	3/8		1/4	3/2		0	72	C5	5	6
3	3	19/3	19/3	0.3333333333333333	1/12	1/12	3/4	3	1	1/12		1/8	2/3		-4	56	Ab3	3	17
3	3	19/3	19/3	0.3333333333333333	1/12	1/12	3/4	3	1	1/12		1/8	2/3		0	60	C4	4	17
3	3	19/3	19/3	0.3333333333333333	1/12	1/12	3/4	2	1	1/12		1/8	2/3		-3	63	Eb4	4	10
3	3	19/3	19/3	0.3333333333333333	1/12	1/12	3/4	2	1	1/12		1/8	2/3		0	72	C5	5	10
3	3	20/3	20/3	0.3333333333333333	1/6	1/6	3/4	3	1	1/12		1/8	2/3		-4	56	Ab3	3	18
3	3	20/3	20/3	0.3333333333333333	1/6	1/6	3/4	3	1	1/12		1/8	2/3		0	60	C4	4	18
3	3	20/3	20/3	0.3333333333333333	1/6	1/6	3/4	2	1	1/12		1/8	2/3		-3	63	Eb4	4	11
3	3	20/3	20/3	0.3333333333333333	1/6	1/6	3/4	2	1	1/12		1/8	2/3		0	72	C5	5	11
3	3	7	7	0.5	1/4	1/4	3/4	3	1	1/8		1/8	1		-4	56	Ab3	3	19
3	3	7	7	0.5	1/4	1/4	3/4	3	1	1/8		1/8	1		0	60	C4	4	19
3	3	7	7	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		-3	63	Eb4	4	12
3	3	7	7	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		0	72	C5	5	12
3	3	15/2	15/2	0.5	3/8	3/8	3/4	3	1	1/8		1/8	1		-4	56	Ab3	3	20
3	3	15/2	15/2	0.5	3/8	3/8	3/4	3	1	1/8		1/8	1		0	60	C4	4	20
3	3	15/2	15/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		-3	63	Eb4	4	13
3	3	15/2	15/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	7
3	3	15/2	15/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		0	72	C5	5	13
3	3	8	8	0.5	1/2	1/2	3/4	3	1	1/8		1/8	1		1	55	G3	3	21
3	3	8	8	0.5	1/2	1/2	3/4	3	1	1/8		1/8	1		-2	58	Bb3	3	21
3	3	8	8	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		-3	63	Eb4	4	14
3	3	8	8	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	8
3	3	8	8	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		-2	70	Bb4	4	14
3	3	17/2	17/2	0.5	5/8	5/8	3/4	3	1	1/8		1/8	1		-4	56	Ab3	3	22
3	3	17/2	17/2	0.5	5/8	5/8	3/4	3	1	1/8		1/8	1		0	60	C4	4	22
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		-3	63	Eb4	4	15
3	3	17/2	17/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	9
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		0	72	C5	5	15
4	4	9	9	0.3333333333333333	0	0	3/4	3	1	1/12		1/8	2/3		-4	44	Ab2	2	32
4	4	9	9	1.0	0	0	3/4	1	1	1/4		1/4	1		0	72	C5	5	23
4	4	28/3	28/3	0.3333333333333333	1/12	1/12	3/4	3	1	1/12		1/8	2/3		-4	56	Ab3	3	33
4	4	28/3	28/3	0.3333333333333333	1/12	1/12	3/4	3	1	1/12		1/8	2/3		-9	57	Bbb3	3	33
