mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	0	0	2/4	1/8	3/8	firstMeasure				1	2
2	1	0	2/4	1/2	0						3
3	2	0	2/4	1/2	0						4
4	3	0	2/4	1/2	0	startRepeat					5
5	4	0	2/4	1/2	0						6
6	5	0	2/4	1/2	0						7
7	6	0	2/4	1/2	0						8
8	7	0	2/4	1/2	0						9
9	8	0	2/4	1/2	0						10
10	9	0	2/4	1/2	0						11
11	10	0	2/4	1/2	0						12
12	11	0	2/4	1/2	0						13
13	12	0	2/4	1/2	0						14
14	13	0	2/4	1/2	0						15
15	14	0	2/4	1/2	0						16
16	15	0	2/4	1/2	0						17, 18
17	16	0	2/4	1/2	0	endRepeat	1				4
18	16	0	2/4	1/2	0		2			1	19
19	17	0	2/4	1/2	0						20
20	18	0	2/4	1/2	0						21
21	19	0	2/4	1/2	0						22
22	20	0	2/4	1/2	0						23
23	21	0	2/4	1/2	0						24
24	22	0	2/4	1/2	0						25
25	23	0	2/4	1/2	0						26
26	24	0	2/4	1/2	0						27
27	25	0	2/4	1/2	0						28
28	26	0	2/4	1/2	0						29
29	27	0	2/4	1/2	0						30
30	28	0	2/4	1/2	0						31
31	29	0	2/4	1/2	0						32
32	30	0	2/4	1/2	0	lastMeasure		end			-1
